"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] E-SHD (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] E-SHD (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] E-SHD (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] E-SHD (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] E-SHD (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] E-SHD (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] E-SHD (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] E-SHD (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] E-SHD (DiBS)__MAX"
"1","17.052635192871094","17.052635192871094","17.052635192871094","16.049997329711914","16.049997329711914","16.049997329711914","21.399995803833008","21.399995803833008","21.399995803833008"
"2","13.00000286102295","13.00000286102295","13.00000286102295","16.59999656677246","16.59999656677246","16.59999656677246","25.199995040893555","25.199995040893555","25.199995040893555"
"3","11.950002670288086","11.950002670288086","11.950002670288086","14.54999828338623","14.54999828338623","14.54999828338623","23.000001907348633","23.000001907348633","23.000001907348633"
"4","13.299997329711914","13.299997329711914","13.299997329711914","15.24999713897705","15.24999713897705","15.24999713897705","23.000001907348633","23.000001907348633","23.000001907348633"
"5","17.473682403564453","17.473682403564453","17.473682403564453","15.54999828338623","15.54999828338623","15.54999828338623","22.000001907348633","22.000001907348633","22.000001907348633"
"6","13.999998092651367","13.999998092651367","13.999998092651367","15.000000953674316","15.000000953674316","15.000000953674316","23.600000381469727","23.600000381469727","23.600000381469727"
"7","17.263158798217773","17.263158798217773","17.263158798217773","17.39999771118164","17.39999771118164","17.39999771118164","20.000001907348633","20.000001907348633","20.000001907348633"
"8","13.500000953674316","13.500000953674316","13.500000953674316","14.894735336303711","14.894735336303711","14.894735336303711","24.500003814697266","24.500003814697266","24.500003814697266"
"9","22.999996185302734","22.999996185302734","22.999996185302734","18.57143211364746","18.57143211364746","18.57143211364746","24","24","24"
"10","12.500000953674316","12.500000953674316","12.500000953674316","14.40000057220459","14.40000057220459","14.40000057220459","22.66666603088379","22.66666603088379","22.66666603088379"
"11","12.944443702697754","12.944443702697754","12.944443702697754","16","16","16","21.28571319580078","21.28571319580078","21.28571319580078"
"12","16.368419647216797","16.368419647216797","16.368419647216797","16.65000343322754","16.65000343322754","16.65000343322754","24","24","24"
"13","15.294121742248535","15.294121742248535","15.294121742248535","16.736846923828125","16.736846923828125","16.736846923828125","23.428569793701172","23.428569793701172","23.428569793701172"
"14","12","12","12","14.499999046325684","14.499999046325684","14.499999046325684","23.857141494750977","23.857141494750977","23.857141494750977"
"15","12.650001525878906","12.650001525878906","12.650001525878906","14.578951835632324","14.578951835632324","14.578951835632324","22.333335876464844","22.333335876464844","22.333335876464844"
"16","16.29999542236328","16.29999542236328","16.29999542236328","14.05000114440918","14.05000114440918","14.05000114440918","25.249998092651367","25.249998092651367","25.249998092651367"
"17","13.850003242492676","13.850003242492676","13.850003242492676","15.894734382629395","15.894734382629395","15.894734382629395","21.500001907348633","21.500001907348633","21.500001907348633"
"18","14.349996566772461","14.349996566772461","14.349996566772461","17.199996948242188","17.199996948242188","17.199996948242188","23.500003814697266","23.500003814697266","23.500003814697266"
"19","18.666662216186523","18.666662216186523","18.666662216186523","19.277774810791016","19.277774810791016","19.277774810791016","20.749996185302734","20.749996185302734","20.749996185302734"
"20","17.263158798217773","17.263158798217773","17.263158798217773","16.750003814697266","16.750003814697266","16.750003814697266","26.249998092651367","26.249998092651367","26.249998092651367"
"21","17.349998474121094","17.349998474121094","17.349998474121094","15.74999713897705","15.74999713897705","15.74999713897705","24.500003814697266","24.500003814697266","24.500003814697266"
"22","12.550002098083496","12.550002098083496","12.550002098083496","16.399999618530273","16.399999618530273","16.399999618530273","23.199996948242188","23.199996948242188","23.199996948242188"
"23","12.75","12.75","12.75","14.70000171661377","14.70000171661377","14.70000171661377","23.000001907348633","23.000001907348633","23.000001907348633"
"24","13.833331108093262","13.833331108093262","13.833331108093262","15.60000228881836","15.60000228881836","15.60000228881836","23.500003814697266","23.500003814697266","23.500003814697266"
"25","17.550003051757812","17.550003051757812","17.550003051757812","17.789472579956055","17.789472579956055","17.789472579956055","21.666669845581055","21.666669845581055","21.666669845581055"
"26","12.7333345413208","12.7333345413208","12.7333345413208","16.899995803833008","16.899995803833008","16.899995803833008","24.399993896484375","24.399993896484375","24.399993896484375"
"27","15.60000228881836","15.60000228881836","15.60000228881836","17.39999771118164","17.39999771118164","17.39999771118164","24.166664123535156","24.166664123535156","24.166664123535156"
"28","15.05000114440918","15.05000114440918","15.05000114440918","16.250003814697266","16.250003814697266","16.250003814697266","24.166664123535156","24.166664123535156","24.166664123535156"
"29","14.36842155456543","14.36842155456543","14.36842155456543","16","16","16","23.79999542236328","23.79999542236328","23.79999542236328"
"30","12.150001525878906","12.150001525878906","12.150001525878906","15.052635192871094","15.052635192871094","15.052635192871094","21.000001907348633","21.000001907348633","21.000001907348633"
"31","14.25","14.25","14.25","16.44999885559082","16.44999885559082","16.44999885559082","45","45","45"
"32","16","16","16","17.80000114440918","17.80000114440918","17.80000114440918","21.399995803833008","21.399995803833008","21.399995803833008"
"33","16.549997329711914","16.549997329711914","16.549997329711914","16.85000228881836","16.85000228881836","16.85000228881836","20.5","20.5","20.5"
"34","13.789475440979004","13.789475440979004","13.789475440979004","16.157894134521484","16.157894134521484","16.157894134521484","22.799999237060547","22.799999237060547","22.799999237060547"
"35","16.842105865478516","16.842105865478516","16.842105865478516","16.29999542236328","16.29999542236328","16.29999542236328","23.666669845581055","23.666669845581055","23.666669845581055"
"36","14.100001335144043","14.100001335144043","14.100001335144043","15.349998474121094","15.349998474121094","15.349998474121094","20.999996185302734","20.999996185302734","20.999996185302734"
"37","17.25","17.25","17.25","16.444446563720703","16.444446563720703","16.444446563720703","22.399995803833008","22.399995803833008","22.399995803833008"
"38","14.666666984558105","14.666666984558105","14.666666984558105","16.899995803833008","16.899995803833008","16.899995803833008","22.999996185302734","22.999996185302734","22.999996185302734"
"39","13.52631664276123","13.52631664276123","13.52631664276123","16.647056579589844","16.647056579589844","16.647056579589844","20.999996185302734","20.999996185302734","20.999996185302734"
"40","11.842106819152832","11.842106819152832","11.842106819152832","14.54999828338623","14.54999828338623","14.54999828338623","23.500003814697266","23.500003814697266","23.500003814697266"
"41","16.142858505249023","16.142858505249023","16.142858505249023","15.157896041870117","15.157896041870117","15.157896041870117","24.200002670288086","24.200002670288086","24.200002670288086"
"42","16.499996185302734","16.499996185302734","16.499996185302734","18.22222137451172","18.22222137451172","18.22222137451172","25.000001907348633","25.000001907348633","25.000001907348633"
"43","20.812503814697266","20.812503814697266","20.812503814697266","17","17","17","25.33333396911621","25.33333396911621","25.33333396911621"
"44","10.80000114440918","10.80000114440918","10.80000114440918","14.44999885559082","14.44999885559082","14.44999885559082","23.600000381469727","23.600000381469727","23.600000381469727"
"45","19.588239669799805","19.588239669799805","19.588239669799805","16.950002670288086","16.950002670288086","16.950002670288086","25.249998092651367","25.249998092651367","25.249998092651367"
"46","15.666667938232422","15.666667938232422","15.666667938232422","15.63158130645752","15.63158130645752","15.63158130645752","23.75","23.75","23.75"
"47","16.70588493347168","16.70588493347168","16.70588493347168","17.736846923828125","17.736846923828125","17.736846923828125","22.799999237060547","22.799999237060547","22.799999237060547"
"48","17.80000114440918","17.80000114440918","17.80000114440918","17.52631950378418","17.52631950378418","17.52631950378418","26.0000057220459","26.0000057220459","26.0000057220459"
"49","12.944443702697754","12.944443702697754","12.944443702697754","15.74999713897705","15.74999713897705","15.74999713897705","24","24","24"
"50","14.40000057220459","14.40000057220459","14.40000057220459","16.65000343322754","16.65000343322754","16.65000343322754","22.500001907348633","22.500001907348633","22.500001907348633"
"51","15.10526180267334","15.10526180267334","15.10526180267334","15.24999713897705","15.24999713897705","15.24999713897705","22.75","22.75","22.75"
"52","17.058822631835938","17.058822631835938","17.058822631835938","16.750003814697266","16.750003814697266","16.750003814697266","20.999996185302734","20.999996185302734","20.999996185302734"
"53","13.100000381469727","13.100000381469727","13.100000381469727","15.300000190734863","15.300000190734863","15.300000190734863","25.000001907348633","25.000001907348633","25.000001907348633"
"54","16.11111068725586","16.11111068725586","16.11111068725586","17.199996948242188","17.199996948242188","17.199996948242188","23.000001907348633","23.000001907348633","23.000001907348633"
"55","13.705881118774414","13.705881118774414","13.705881118774414","15.63158130645752","15.63158130645752","15.63158130645752","21.000001907348633","21.000001907348633","21.000001907348633"
"56","18.444440841674805","18.444440841674805","18.444440841674805","17.550003051757812","17.550003051757812","17.550003051757812","18.750001907348633","18.750001907348633","18.750001907348633"
"57","16.049997329711914","16.049997329711914","16.049997329711914","16.65000343322754","16.65000343322754","16.65000343322754","24","24","24"
"58","15.000000953674316","15.000000953674316","15.000000953674316","15.44999885559082","15.44999885559082","15.44999885559082","23.500003814697266","23.500003814697266","23.500003814697266"
"59","17.944442749023438","17.944442749023438","17.944442749023438","17.049999237060547","17.049999237060547","17.049999237060547","22.200002670288086","22.200002670288086","22.200002670288086"
"60","11.000000953674316","11.000000953674316","11.000000953674316","15.300000190734863","15.300000190734863","15.300000190734863","22.71428871154785","22.71428871154785","22.71428871154785"
"61","12.399998664855957","12.399998664855957","12.399998664855957","16.049997329711914","16.049997329711914","16.049997329711914","24.71428680419922","24.71428680419922","24.71428680419922"
"62","12.933331489562988","12.933331489562988","12.933331489562988","14.842108726501465","14.842108726501465","14.842108726501465","23.500003814697266","23.500003814697266","23.500003814697266"
"63","21.53845977783203","21.53845977783203","21.53845977783203","19.5625057220459","19.5625057220459","19.5625057220459","23.000001907348633","23.000001907348633","23.000001907348633"
"64","11.000000953674316","11.000000953674316","11.000000953674316","14.60000228881836","14.60000228881836","14.60000228881836","22.75","22.75","22.75"
"65","16.631576538085938","16.631576538085938","16.631576538085938","15.44999885559082","15.44999885559082","15.44999885559082","24","24","24"
"66","15.099996566772461","15.099996566772461","15.099996566772461","16.500001907348633","16.500001907348633","16.500001907348633","24","24","24"
"67","11.444443702697754","11.444443702697754","11.444443702697754","13.850003242492676","13.850003242492676","13.850003242492676","22.125003814697266","22.125003814697266","22.125003814697266"
"68","16.049997329711914","16.049997329711914","16.049997329711914","16.399999618530273","16.399999618530273","16.399999618530273","22.428569793701172","22.428569793701172","22.428569793701172"
"69","12","12","12","14.14999771118164","14.14999771118164","14.14999771118164","23.285707473754883","23.285707473754883","23.285707473754883"
"70","14.444446563720703","14.444446563720703","14.444446563720703","16.399999618530273","16.399999618530273","16.399999618530273","22.000001907348633","22.000001907348633","22.000001907348633"
"71","12.578950881958008","12.578950881958008","12.578950881958008","15.300000190734863","15.300000190734863","15.300000190734863","23.500003814697266","23.500003814697266","23.500003814697266"
"72","13.25000286102295","13.25000286102295","13.25000286102295","15.54999828338623","15.54999828338623","15.54999828338623","20.749996185302734","20.749996185302734","20.749996185302734"
"73","17.052635192871094","17.052635192871094","17.052635192871094","17.25","17.25","17.25","23.249998092651367","23.249998092651367","23.249998092651367"
"74","13.550002098083496","13.550002098083496","13.550002098083496","16.149999618530273","16.149999618530273","16.149999618530273","23.000001907348633","23.000001907348633","23.000001907348633"
"75","13.100000381469727","13.100000381469727","13.100000381469727","15.60000228881836","15.60000228881836","15.60000228881836","21.749998092651367","21.749998092651367","21.749998092651367"
"76","13.200000762939453","13.200000762939453","13.200000762939453","15.000000953674316","15.000000953674316","15.000000953674316","22.000001907348633","22.000001907348633","22.000001907348633"
"77","15.60000228881836","15.60000228881836","15.60000228881836","16.250003814697266","16.250003814697266","16.250003814697266","23.000001907348633","23.000001907348633","23.000001907348633"
"78","15.733333587646484","15.733333587646484","15.733333587646484","18.176469802856445","18.176469802856445","18.176469802856445","23.000001907348633","23.000001907348633","23.000001907348633"
"79","13.850003242492676","13.850003242492676","13.850003242492676","16.399999618530273","16.399999618530273","16.399999618530273","24.500003814697266","24.500003814697266","24.500003814697266"
"80","12.650001525878906","12.650001525878906","12.650001525878906","17.80000114440918","17.80000114440918","17.80000114440918","21.28571319580078","21.28571319580078","21.28571319580078"
"81","18.52941131591797","18.52941131591797","18.52941131591797","18.4615421295166","18.4615421295166","18.4615421295166","19.499998092651367","19.499998092651367","19.499998092651367"
"82","13.100000381469727","13.100000381469727","13.100000381469727","16.65000343322754","16.65000343322754","16.65000343322754","22.428569793701172","22.428569793701172","22.428569793701172"
"83","17","17","17","18.400001525878906","18.400001525878906","18.400001525878906","21.500001907348633","21.500001907348633","21.500001907348633"
"84","14.499999046325684","14.499999046325684","14.499999046325684","16.10526466369629","16.10526466369629","16.10526466369629","22.000001907348633","22.000001907348633","22.000001907348633"
"85","17.894737243652344","17.894737243652344","17.894737243652344","17.499996185302734","17.499996185302734","17.499996185302734","23.000001907348633","23.000001907348633","23.000001907348633"
"86","15.799997329711914","15.799997329711914","15.799997329711914","14.70000171661377","14.70000171661377","14.70000171661377","20.000001907348633","20.000001907348633","20.000001907348633"
"87","13.850003242492676","13.850003242492676","13.850003242492676","16.473690032958984","16.473690032958984","16.473690032958984","21.500001907348633","21.500001907348633","21.500001907348633"
"88","16.500001907348633","16.500001907348633","16.500001907348633","15.74999713897705","15.74999713897705","15.74999713897705","22.200002670288086","22.200002670288086","22.200002670288086"
"89","13.421053886413574","13.421053886413574","13.421053886413574","15.10526180267334","15.10526180267334","15.10526180267334","23.000001907348633","23.000001907348633","23.000001907348633"
"90","10.8421049118042","10.8421049118042","10.8421049118042","14.499999046325684","14.499999046325684","14.499999046325684","23.249998092651367","23.249998092651367","23.249998092651367"
"91","17.105266571044922","17.105266571044922","17.105266571044922","18.166669845581055","18.166669845581055","18.166669845581055","22.000001907348633","22.000001907348633","22.000001907348633"
"92","14.666666984558105","14.666666984558105","14.666666984558105","15.684210777282715","15.684210777282715","15.684210777282715","21.666669845581055","21.666669845581055","21.666669845581055"
"93","19.000003814697266","19.000003814697266","19.000003814697266","17.555551528930664","17.555551528930664","17.555551528930664","21.333332061767578","21.333332061767578","21.333332061767578"
"94","14.36842155456543","14.36842155456543","14.36842155456543","17.63158416748047","17.63158416748047","17.63158416748047","23.333330154418945","23.333330154418945","23.333330154418945"
"95","11.421055793762207","11.421055793762207","11.421055793762207","15.14999771118164","15.14999771118164","15.14999771118164","21.000001907348633","21.000001907348633","21.000001907348633"
"96","15.947368621826172","15.947368621826172","15.947368621826172","17","17","17","23.600000381469727","23.600000381469727","23.600000381469727"
"97","16.647056579589844","16.647056579589844","16.647056579589844","17.30000114440918","17.30000114440918","17.30000114440918","22.000001907348633","22.000001907348633","22.000001907348633"
"98","12.19999885559082","12.19999885559082","12.19999885559082","14.14999771118164","14.14999771118164","14.14999771118164","25.000001907348633","25.000001907348633","25.000001907348633"
"99","13.900001525878906","13.900001525878906","13.900001525878906","16.049997329711914","16.049997329711914","16.049997329711914","20.000001907348633","20.000001907348633","20.000001907348633"
"100","18.157896041870117","18.157896041870117","18.157896041870117","18.750001907348633","18.750001907348633","18.750001907348633","24.750001907348633","24.750001907348633","24.750001907348633"
