"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] neg. LL (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] neg. LL (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] neg. LL (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] neg. LL (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] neg. LL (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] neg. LL (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] neg. LL (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] neg. LL (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] neg. LL (DiBS)__MAX"
"1","1328.9169921875","1328.9169921875","1328.9169921875","1444.286376953125","1444.286376953125","1444.286376953125","18161.240234375","18161.240234375","18161.240234375"
"2","1735.230712890625","1735.230712890625","1735.230712890625","1780.2421875","1780.2421875","1780.2421875","14950.888671875","14950.888671875","14950.888671875"
"3","1544.9365234375","1544.9365234375","1544.9365234375","1636.172607421875","1636.172607421875","1636.172607421875","22080.22265625","22080.22265625","22080.22265625"
"4","2932.32275390625","2932.32275390625","2932.32275390625","1527.6934814453125","1527.6934814453125","1527.6934814453125","16053.18359375","16053.18359375","16053.18359375"
"5","1431.4759521484375","1431.4759521484375","1431.4759521484375","1253.21044921875","1253.21044921875","1253.21044921875","17014.208984375","17014.208984375","17014.208984375"
"6","1666.83056640625","1666.83056640625","1666.83056640625","1795.159912109375","1795.159912109375","1795.159912109375","20922.248046875","20922.248046875","20922.248046875"
"7","1605.2393798828125","1605.2393798828125","1605.2393798828125","1913.8248291015625","1913.8248291015625","1913.8248291015625","18733.36328125","18733.36328125","18733.36328125"
"8","1632.5408935546875","1632.5408935546875","1632.5408935546875","1979.899169921875","1979.899169921875","1979.899169921875","19551.623046875","19551.623046875","19551.623046875"
"9","3439.835693359375","3439.835693359375","3439.835693359375","2213.684326171875","2213.684326171875","2213.684326171875","21577.828125","21577.828125","21577.828125"
"10","1622.498779296875","1622.498779296875","1622.498779296875","1603.6495361328125","1603.6495361328125","1603.6495361328125","15980.6572265625","15980.6572265625","15980.6572265625"
"11","1562.37353515625","1562.37353515625","1562.37353515625","1614.3155517578125","1614.3155517578125","1614.3155517578125","14127.609375","14127.609375","14127.609375"
"12","1697.701904296875","1697.701904296875","1697.701904296875","1583.623291015625","1583.623291015625","1583.623291015625","17155.275390625","17155.275390625","17155.275390625"
"13","1786.86474609375","1786.86474609375","1786.86474609375","1736.036865234375","1736.036865234375","1736.036865234375","23338.541015625","23338.541015625","23338.541015625"
"14","1232.166748046875","1232.166748046875","1232.166748046875","1337.45458984375","1337.45458984375","1337.45458984375","17440.876953125","17440.876953125","17440.876953125"
"15","1491.09814453125","1491.09814453125","1491.09814453125","1639.0040283203125","1639.0040283203125","1639.0040283203125","11499.419921875","11499.419921875","11499.419921875"
"16","1479.1204833984375","1479.1204833984375","1479.1204833984375","1383.091796875","1383.091796875","1383.091796875","22049.794921875","22049.794921875","22049.794921875"
