"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS)__MAX"
"1","0.9068036853295535","0.9068036853295535","0.9068036853295535","0.7264351523742028","0.7264351523742028","0.7264351523742028","0.6867469879518072","0.6867469879518072","0.6867469879518072"
"2","0.9716513111268603","0.9716513111268603","0.9716513111268603","0.7441530829199149","0.7441530829199149","0.7441530829199149","0.4964564138908576","0.4964564138908576","0.4964564138908576"
"3","0.9847625797306875","0.9847625797306875","0.9847625797306875","0.8784549964564139","0.8784549964564139","0.8784549964564139","0.5815024805102764","0.5815024805102764","0.5815024805102764"
"4","0.9663359319631466","0.9663359319631466","0.9663359319631466","0.8791637136782424","0.8791637136782424","0.8791637136782424","0.5885896527285612","0.5885896527285612","0.5885896527285612"
"5","0.8118355776045358","0.8118355776045358","0.8118355776045358","0.7094259390503189","0.7094259390503189","0.7094259390503189","0.6644223954642097","0.6644223954642097","0.6644223954642097"
"6","0.9482636428065201","0.9482636428065201","0.9482636428065201","0.7686038270729978","0.7686038270729978","0.7686038270729978","0.5145287030474841","0.5145287030474841","0.5145287030474841"
"7","0.8979447200566975","0.8979447200566975","0.8979447200566975","0.7895109851169384","0.7895109851169384","0.7895109851169384","0.5460666194188519","0.5460666194188519","0.5460666194188519"
"8","0.9790928419560596","0.9790928419560596","0.9790928419560596","0.9014883061658397","0.9014883061658397","0.9014883061658397","0.4858256555634302","0.4858256555634302","0.4858256555634302"
"9","0.6615875265768958","0.6615875265768958","0.6615875265768958","0.6406803685329554","0.6406803685329554","0.6406803685329554","0.5882352941176471","0.5882352941176471","0.5882352941176471"
"10","0.9649184975194898","0.9649184975194898","0.9649184975194898","0.8692416725726435","0.8692416725726435","0.8692416725726435","0.6658398299078668","0.6658398299078668","0.6658398299078668"
"11","0.9663359319631467","0.9663359319631467","0.9663359319631467","0.8291991495393338","0.8291991495393338","0.8291991495393338","0.642806520198441","0.642806520198441","0.642806520198441"
"12","0.9004252303330971","0.9004252303330971","0.9004252303330971","0.7544294826364281","0.7544294826364281","0.7544294826364281","0.5825655563430191","0.5825655563430191","0.5825655563430191"
"13","0.9447200566973777","0.9447200566973777","0.9447200566973777","0.7735648476257972","0.7735648476257972","0.7735648476257972","0.5357902197023388","0.5357902197023388","0.5357902197023388"
"14","0.9698795180722891","0.9698795180722891","0.9698795180722891","0.8508150248051027","0.8508150248051027","0.8508150248051027","0.6381998582565557","0.6381998582565557","0.6381998582565557"
"15","0.9883061658398299","0.9883061658398299","0.9883061658398299","0.8961729270021261","0.8961729270021261","0.8961729270021261","0.6633593196314671","0.6633593196314671","0.6633593196314671"
"16","0.9043231750531537","0.9043231750531537","0.9043231750531537","0.7650602409638555","0.7650602409638555","0.7650602409638555","0.4153082919914955","0.4153082919914955","0.4153082919914955"
"17","0.9578313253012049","0.9578313253012049","0.9578313253012049","0.8327427356484762","0.8327427356484762","0.8327427356484762","0.5644932671863927","0.5644932671863927","0.5644932671863927"
"18","0.9518072289156626","0.9518072289156626","0.9518072289156626","0.6587526576895819","0.6587526576895819","0.6587526576895819","0.5832742735648477","0.5832742735648477","0.5832742735648477"
"19","0.8894401133947555","0.8894401133947555","0.8894401133947555","0.7218284904323176","0.7218284904323176","0.7218284904323176","0.721119773210489","0.721119773210489","0.721119773210489"
"20","0.8756201275690999","0.8756201275690999","0.8756201275690999","0.6545003543586109","0.6545003543586109","0.6545003543586109","0.4425939050318922","0.4425939050318922","0.4425939050318922"
"21","0.8568391211906449","0.8568391211906449","0.8568391211906449","0.6995038979447201","0.6995038979447201","0.6995038979447201","0.5450035435861091","0.5450035435861091","0.5450035435861091"
"22","0.9858256555634302","0.9858256555634302","0.9858256555634302","0.7515946137491141","0.7515946137491141","0.7515946137491141","0.6449326718639263","0.6449326718639263","0.6449326718639263"
"23","0.9659815733522323","0.9659815733522323","0.9659815733522323","0.9369241672572644","0.9369241672572644","0.9369241672572644","0.5329553508150248","0.5329553508150248","0.5329553508150248"
"24","0.9447200566973778","0.9447200566973778","0.9447200566973778","0.8377037562012756","0.8377037562012756","0.8377037562012756","0.615520907158044","0.615520907158044","0.615520907158044"
"25","0.8912119064493267","0.8912119064493267","0.8912119064493267","0.7246633593196314","0.7246633593196314","0.7246633593196314","0.6307583274273564","0.6307583274273564","0.6307583274273564"
