"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUPRC (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUPRC (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUPRC (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUPRC (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUPRC (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUPRC (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUPRC (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUPRC (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUPRC (DiBS)__MAX"
"1","0.6704119168889966","0.6704119168889966","0.6704119168889966","0.4768377470280585","0.4768377470280585","0.4768377470280585","0.36182835016899983","0.36182835016899983","0.36182835016899983"
"2","0.8906066700184347","0.8906066700184347","0.8906066700184347","0.4539433476739979","0.4539433476739979","0.4539433476739979","0.24376585928489042","0.24376585928489042","0.24376585928489042"
"3","0.9137854792266558","0.9137854792266558","0.9137854792266558","0.7220135746606334","0.7220135746606334","0.7220135746606334","0.18169144580909286","0.18169144580909286","0.18169144580909286"
"4","0.7902183600713012","0.7902183600713012","0.7902183600713012","0.6549772662688265","0.6549772662688265","0.6549772662688265","0.216890756302521","0.216890756302521","0.216890756302521"
"5","0.5254893207282912","0.5254893207282912","0.5254893207282912","0.4878668390433097","0.4878668390433097","0.4878668390433097","0.276373346086402","0.276373346086402","0.276373346086402"
"6","0.7630521264385285","0.7630521264385285","0.7630521264385285","0.6571129141311698","0.6571129141311698","0.6571129141311698","0.14828060636019114","0.14828060636019114","0.14828060636019114"
"7","0.7212439744481243","0.7212439744481243","0.7212439744481243","0.4462637362637363","0.4462637362637363","0.4462637362637363","0.30823529411764705","0.30823529411764705","0.30823529411764705"
"8","0.9095523283499567","0.9095523283499567","0.9095523283499567","0.6594259746338853","0.6594259746338853","0.6594259746338853","0.2229520697167756","0.2229520697167756","0.2229520697167756"
"9","0.28076670579540025","0.28076670579540025","0.28076670579540025","0.31987738491623063","0.31987738491623063","0.31987738491623063","0.18614275574483186","0.18614275574483186","0.18614275574483186"
"10","0.7692792899893848","0.7692792899893848","0.7692792899893848","0.7174641371700194","0.7174641371700194","0.7174641371700194","0.263784907902555","0.263784907902555","0.263784907902555"
"11","0.8488174596533731","0.8488174596533731","0.8488174596533731","0.5322443977591037","0.5322443977591037","0.5322443977591037","0.35603832442067734","0.35603832442067734","0.35603832442067734"
"12","0.7216633993873373","0.7216633993873373","0.7216633993873373","0.5449604848098392","0.5449604848098392","0.5449604848098392","0.17924719887955182","0.17924719887955182","0.17924719887955182"
"13","0.7387944872464997","0.7387944872464997","0.7387944872464997","0.46510681040092805","0.46510681040092805","0.46510681040092805","0.17868007809184278","0.17868007809184278","0.17868007809184278"
"14","0.8813351480534144","0.8813351480534144","0.8813351480534144","0.6817018006983404","0.6817018006983404","0.6817018006983404","0.19202046035805626","0.19202046035805626","0.19202046035805626"
"15","0.9526515151515151","0.9526515151515151","0.9526515151515151","0.6922493443563422","0.6922493443563422","0.6922493443563422","0.2884007884735379","0.2884007884735379","0.2884007884735379"
"16","0.6754292091168018","0.6754292091168018","0.6754292091168018","0.6966541353383459","0.6966541353383459","0.6966541353383459","0.12942544459644323","0.12942544459644323","0.12942544459644323"
