"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] precision (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] precision (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] precision (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] precision (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] precision (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] precision (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] precision (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] precision (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] precision (DiBS)__MAX"
"1","0.6666666666666666","0.6666666666666666","0.6666666666666666","1","1","1","0","0","0"
"2","1","1","1","0","0","0","0","0","0"
"3","1","1","1","1","1","1","0","0","0"
"4","0.6666666666666666","0.6666666666666666","0.6666666666666666","1","1","1","0.1","0.1","0.1"
"5","0.75","0.75","0.75","1","1","1","0.4444444444444444","0.4444444444444444","0.4444444444444444"
"6","0.75","0.75","0.75","0","0","0","0","0","0"
"7","0","0","0","0","0","0","0.3","0.3","0.3"
"8","1","1","1","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5","0.5","0.5"
"9","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5","0.5","0.5","0","0","0"
"10","0.8","0.8","0.8","1","1","1","0","0","0"
"11","1","1","1","1","1","1","1","1","1"
"12","0.7777777777777778","0.7777777777777778","0.7777777777777778","0","0","0","0","0","0"
"13","0.75","0.75","0.75","1","1","1","0","0","0"
"14","1","1","1","1","1","1","0","0","0"
"15","1","1","1","1","1","1","0","0","0"
"16","1","1","1","1","1","1","0","0","0"
"17","0.75","0.75","0.75","1","1","1","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"18","0.75","0.75","0.75","0","0","0","0","0","0"
"19","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0"
"20","1","1","1","0","0","0","0","0","0"
"21","1","1","1","1","1","1","0","0","0"
"22","1","1","1","0","0","0","0.2","0.2","0.2"
"23","0.5","0.5","0.5","1","1","1","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"24","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0","0","0","0"
"25","1","1","1","0.5","0.5","0.5","0.5714285714285714","0.5714285714285714","0.5714285714285714"
"26","1","1","1","0","0","0","0.25","0.25","0.25"
"27","0.75","0.75","0.75","0","0","0","0","0","0"
"28","0.5","0.5","0.5","0","0","0","0","0","0"
"29","1","1","1","0","0","0","0.16666666666666666","0.16666666666666666","0.16666666666666666"
