"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] recall (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] recall (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] recall (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] recall (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] recall (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] recall (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] recall (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] recall (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] recall (DiBS)__MAX"
"1","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0"
"2","0.23529411764705882","0.23529411764705882","0.23529411764705882","0","0","0","0","0","0"
"3","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0"
"4","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"5","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"6","0.17647058823529413","0.17647058823529413","0.17647058823529413","0","0","0","0","0","0"
"7","0","0","0","0","0","0","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"8","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"9","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0"
"10","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0"
"11","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"12","0.4117647058823529","0.4117647058823529","0.4117647058823529","0","0","0","0","0","0"
"13","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0"
"14","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0"
"15","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0"
"16","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.17647058823529413","0.17647058823529413","0.17647058823529413","0","0","0"
"17","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"18","0.17647058823529413","0.17647058823529413","0.17647058823529413","0","0","0","0","0","0"
"19","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0"
"20","0.11764705882352941","0.11764705882352941","0.11764705882352941","0","0","0","0","0","0"
"21","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0"
"22","0.17647058823529413","0.17647058823529413","0.17647058823529413","0","0","0","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"23","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"24","0.11764705882352941","0.11764705882352941","0.11764705882352941","0","0","0","0","0","0"
"25","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.23529411764705882","0.23529411764705882","0.23529411764705882"
