"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] E-SHD (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] E-SHD (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] E-SHD (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] E-SHD (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] E-SHD (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] E-SHD (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] E-SHD (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] E-SHD (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] E-SHD (DiBS+)__MAX"
"1","17","17","17","14.000001907348633","14.000001907348633","14.000001907348633","24","24","24"
"2","4","4","4","14.000001907348633","14.000001907348633","14.000001907348633","24","24","24"
"3","10","10","10","12","12","12","27.000001907348633","27.000001907348633","27.000001907348633"
"4","12","12","12","16","16","16","25.000001907348633","25.000001907348633","25.000001907348633"
"5","14.000001907348633","14.000001907348633","14.000001907348633","12.999999046325684","12.999999046325684","12.999999046325684","22.000001907348633","22.000001907348633","22.000001907348633"
"6","12","12","12","16","16","16","21.000001907348633","21.000001907348633","21.000001907348633"
"7","17","17","17","19","19","19","20.000001907348633","20.000001907348633","20.000001907348633"
"8","8.999343872070312","8.999343872070312","8.999343872070312","14.000001907348633","14.000001907348633","14.000001907348633","23.000001907348633","23.000001907348633","23.000001907348633"
"9","23.000001907348633","23.000001907348633","23.000001907348633","16","16","16","23.000001907348633","23.000001907348633","23.000001907348633"
"10","12.999999046325684","12.999999046325684","12.999999046325684","12.999999046325684","12.999999046325684","12.999999046325684","22.000001907348633","22.000001907348633","22.000001907348633"
"11","16","16","16","17","17","17","17","17","17"
"12","15.000000953674316","15.000000953674316","15.000000953674316","17","17","17","25.999998092651367","25.999998092651367","25.999998092651367"
"13","10.328224182128906","10.328224182128906","10.328224182128906","14.000001907348633","14.000001907348633","14.000001907348633","23.000001907348633","23.000001907348633","23.000001907348633"
"14","12.999999046325684","12.999999046325684","12.999999046325684","12","12","12","23.000001907348633","23.000001907348633","23.000001907348633"
"15","11.999938011169434","11.999938011169434","11.999938011169434","14.000001907348633","14.000001907348633","14.000001907348633","24","24","24"
"16","19","19","19","12.000371932983398","12.000371932983398","12.000371932983398","22.000001907348633","22.000001907348633","22.000001907348633"
"17","12","12","12","16","16","16","23.000001907348633","23.000001907348633","23.000001907348633"
"18","12","12","12","15.000000953674316","15.000000953674316","15.000000953674316","23.000001907348633","23.000001907348633","23.000001907348633"
"19","19","19","19","20.097047805786133","20.097047805786133","20.097047805786133","19","19","19"
"20","12","12","12","16","16","16","30.000001907348633","30.000001907348633","30.000001907348633"
"21","11.000000953674316","11.000000953674316","11.000000953674316","14.000001907348633","14.000001907348633","14.000001907348633","25.000001907348633","25.000001907348633","25.000001907348633"
"22","8","8","8","17","17","17","22.000001907348633","22.000001907348633","22.000001907348633"
"23","10","10","10","16","16","16","24","24","24"
"24","17","17","17","17","17","17","25.000001907348633","25.000001907348633","25.000001907348633"
"25","15.000000953674316","15.000000953674316","15.000000953674316","19","19","19","15.000000953674316","15.000000953674316","15.000000953674316"
"26","9","9","9","21.000001907348633","21.000001907348633","21.000001907348633","27.000001907348633","27.000001907348633","27.000001907348633"
"27","16.811677932739258","16.811677932739258","16.811677932739258","17","17","17","25.999998092651367","25.999998092651367","25.999998092651367"
"28","21.000001907348633","21.000001907348633","21.000001907348633","12.999999046325684","12.999999046325684","12.999999046325684","20.000001907348633","20.000001907348633","20.000001907348633"
