"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] neg. LL (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] neg. LL (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] neg. LL (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] neg. LL (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] neg. LL (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] neg. LL (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] neg. LL (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] neg. LL (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] neg. LL (DiBS+)__MAX"
"1","1034.4293212890625","1034.4293212890625","1034.4293212890625","1211.9271240234375","1211.9271240234375","1211.9271240234375","9723.8310546875","9723.8310546875","9723.8310546875"
"2","1008.7484741210938","1008.7484741210938","1008.7484741210938","1170.001953125","1170.001953125","1170.001953125","11718.2890625","11718.2890625","11718.2890625"
"3","1010.4705200195312","1010.4705200195312","1010.4705200195312","1202.749267578125","1202.749267578125","1202.749267578125","16488.787109375","16488.787109375","16488.787109375"
"4","1128.2513427734375","1128.2513427734375","1128.2513427734375","1213.479736328125","1213.479736328125","1213.479736328125","12253.8125","12253.8125","12253.8125"
"5","1059.187255859375","1059.187255859375","1059.187255859375","1178.4476318359375","1178.4476318359375","1178.4476318359375","12711.4599609375","12711.4599609375","12711.4599609375"
"6","993.4659423828125","993.4659423828125","993.4659423828125","1126.0660400390625","1126.0660400390625","1126.0660400390625","15884.9921875","15884.9921875","15884.9921875"
"7","1085.9920654296875","1085.9920654296875","1085.9920654296875","1212.1478271484375","1212.1478271484375","1212.1478271484375","18733.36328125","18733.36328125","18733.36328125"
"8","983.7677612304688","983.7677612304688","983.7677612304688","1111.0614013671875","1111.0614013671875","1111.0614013671875","19073.154296875","19073.154296875","19073.154296875"
"9","1498.154541015625","1498.154541015625","1498.154541015625","1211.78662109375","1211.78662109375","1211.78662109375","18280.48046875","18280.48046875","18280.48046875"
"10","980.767333984375","980.767333984375","980.767333984375","1339.2484130859375","1339.2484130859375","1339.2484130859375","11879.6005859375","11879.6005859375","11879.6005859375"
"11","999.992919921875","999.992919921875","999.992919921875","1225.997802734375","1225.997802734375","1225.997802734375","11958.451171875","11958.451171875","11958.451171875"
"12","1051.18017578125","1051.18017578125","1051.18017578125","1209.313232421875","1209.313232421875","1209.313232421875","12758.4365234375","12758.4365234375","12758.4365234375"
"13","1106.546142578125","1106.546142578125","1106.546142578125","1294.157958984375","1294.157958984375","1294.157958984375","14979.517578125","14979.517578125","14979.517578125"
"14","934.9649047851562","934.9649047851562","934.9649047851562","1157.1195068359375","1157.1195068359375","1157.1195068359375","15934.7587890625","15934.7587890625","15934.7587890625"
"15","1017.5511474609375","1017.5511474609375","1017.5511474609375","1243.5325927734375","1243.5325927734375","1243.5325927734375","9167.7177734375","9167.7177734375","9167.7177734375"
"16","1049.815673828125","1049.815673828125","1049.815673828125","1272.090087890625","1272.090087890625","1272.090087890625","14898.25390625","14898.25390625","14898.25390625"
"17","1220.7529296875","1220.7529296875","1220.7529296875","1201.470947265625","1201.470947265625","1201.470947265625","17350.49609375","17350.49609375","17350.49609375"
"18","930.7648315429688","930.7648315429688","930.7648315429688","1247.2030029296875","1247.2030029296875","1247.2030029296875","12178.64453125","12178.64453125","12178.64453125"
"19","1067.4202880859375","1067.4202880859375","1067.4202880859375","1290.366455078125","1290.366455078125","1290.366455078125","12539.2958984375","12539.2958984375","12539.2958984375"
"20","1093.946044921875","1093.946044921875","1093.946044921875","1294.433349609375","1294.433349609375","1294.433349609375","13576.8173828125","13576.8173828125","13576.8173828125"
"21","1050.74365234375","1050.74365234375","1050.74365234375","1239.6328125","1239.6328125","1239.6328125","10408.3369140625","10408.3369140625","10408.3369140625"
"22","1028.8699951171875","1028.8699951171875","1028.8699951171875","1145.7537841796875","1145.7537841796875","1145.7537841796875","12095.1337890625","12095.1337890625","12095.1337890625"
"23","932.71484375","932.71484375","932.71484375","1135.4857177734375","1135.4857177734375","1135.4857177734375","13268.7373046875","13268.7373046875","13268.7373046875"
"24","1073.60595703125","1073.60595703125","1073.60595703125","1241.7301025390625","1241.7301025390625","1241.7301025390625","13932.7822265625","13932.7822265625","13932.7822265625"
"25","1115.802001953125","1115.802001953125","1115.802001953125","1290.678466796875","1290.678466796875","1290.678466796875","17698.560546875","17698.560546875","17698.560546875"
"26","1101.9248046875","1101.9248046875","1101.9248046875","1170.48291015625","1170.48291015625","1170.48291015625","12460.6533203125","12460.6533203125","12460.6533203125"
"27","1234.177734375","1234.177734375","1234.177734375","1212.7491455078125","1212.7491455078125","1212.7491455078125","11831.908203125","11831.908203125","11831.908203125"
"28","1028.7222900390625","1028.7222900390625","1028.7222900390625","1161.713623046875","1161.713623046875","1161.713623046875","11727.3330078125","11727.3330078125","11727.3330078125"
"29","924.03076171875","924.03076171875","924.03076171875","1225.775634765625","1225.775634765625","1225.775634765625","13013.822265625","13013.822265625","13013.822265625"
"30","1000.4307861328125","1000.4307861328125","1000.4307861328125","1191.9886474609375","1191.9886474609375","1191.9886474609375","15444.203125","15444.203125","15444.203125"
"31","1010.2315673828125","1010.2315673828125","1010.2315673828125","1243.8048095703125","1243.8048095703125","1243.8048095703125","912407.25","912407.25","912407.25"
"32","1106.1500244140625","1106.1500244140625","1106.1500244140625","1248.2216796875","1248.2216796875","1248.2216796875","12019.1171875","12019.1171875","12019.1171875"
"33","1178.992919921875","1178.992919921875","1178.992919921875","1246.5633544921875","1246.5633544921875","1246.5633544921875","14082.626953125","14082.626953125","14082.626953125"
"34","1108.9468994140625","1108.9468994140625","1108.9468994140625","1129.4000244140625","1129.4000244140625","1129.4000244140625","16070.5673828125","16070.5673828125","16070.5673828125"
"35","1135.1165771484375","1135.1165771484375","1135.1165771484375","1365.033935546875","1365.033935546875","1365.033935546875","12132.11328125","12132.11328125","12132.11328125"
"36","1002.0115356445312","1002.0115356445312","1002.0115356445312","1132.4171142578125","1132.4171142578125","1132.4171142578125","9999.572265625","9999.572265625","9999.572265625"
"37","1046.692626953125","1046.692626953125","1046.692626953125","1230.9910888671875","1230.9910888671875","1230.9910888671875","13686.029296875","13686.029296875","13686.029296875"
"38","1019.8848266601562","1019.8848266601562","1019.8848266601562","1181.95751953125","1181.95751953125","1181.95751953125","14652.73828125","14652.73828125","14652.73828125"
"39","931.0972900390625","931.0972900390625","931.0972900390625","1081.4986572265625","1081.4986572265625","1081.4986572265625","21280.443359375","21280.443359375","21280.443359375"
"40","895.6444702148438","895.6444702148438","895.6444702148438","1243.1953125","1243.1953125","1243.1953125","11260.9453125","11260.9453125","11260.9453125"
"41","1076.9454345703125","1076.9454345703125","1076.9454345703125","1124.5201416015625","1124.5201416015625","1124.5201416015625","15780.7607421875","15780.7607421875","15780.7607421875"
"42","1085.216064453125","1085.216064453125","1085.216064453125","1100.1444091796875","1100.1444091796875","1100.1444091796875","21169.78125","21169.78125","21169.78125"
"43","1094.364990234375","1094.364990234375","1094.364990234375","1093.7039794921875","1093.7039794921875","1093.7039794921875","16165.640625","16165.640625","16165.640625"
"44","1058.66259765625","1058.66259765625","1058.66259765625","1248.900390625","1248.900390625","1248.900390625","13472.498046875","13472.498046875","13472.498046875"
"45","1077.1416015625","1077.1416015625","1077.1416015625","1367.4912109375","1367.4912109375","1367.4912109375","12238.3603515625","12238.3603515625","12238.3603515625"
"46","986.9679565429688","986.9679565429688","986.9679565429688","1150.362060546875","1150.362060546875","1150.362060546875","13758.265625","13758.265625","13758.265625"
"47","1047.116455078125","1047.116455078125","1047.116455078125","1331.2738037109375","1331.2738037109375","1331.2738037109375","14180.1435546875","14180.1435546875","14180.1435546875"
"48","1137.501708984375","1137.501708984375","1137.501708984375","1313.798583984375","1313.798583984375","1313.798583984375","12544.2470703125","12544.2470703125","12544.2470703125"
"49","1010.4662475585938","1010.4662475585938","1010.4662475585938","1176.6627197265625","1176.6627197265625","1176.6627197265625","14074.087890625","14074.087890625","14074.087890625"
"50","960.8697509765625","960.8697509765625","960.8697509765625","1239.2734375","1239.2734375","1239.2734375","13769.84375","13769.84375","13769.84375"
"51","1207.7935791015625","1207.7935791015625","1207.7935791015625","1184.5146484375","1184.5146484375","1184.5146484375","15242.5986328125","15242.5986328125","15242.5986328125"
"52","1044.2872314453125","1044.2872314453125","1044.2872314453125","1185.1259765625","1185.1259765625","1185.1259765625","14545.07421875","14545.07421875","14545.07421875"
"53","1023.391357421875","1023.391357421875","1023.391357421875","1244.9078369140625","1244.9078369140625","1244.9078369140625","12371.3740234375","12371.3740234375","12371.3740234375"
"54","1033.9361572265625","1033.9361572265625","1033.9361572265625","1236.16845703125","1236.16845703125","1236.16845703125","17699.099609375","17699.099609375","17699.099609375"
"55","1087.7022705078125","1087.7022705078125","1087.7022705078125","1234.7752685546875","1234.7752685546875","1234.7752685546875","15199.529296875","15199.529296875","15199.529296875"
"56","1034.1668701171875","1034.1668701171875","1034.1668701171875","1742.1925048828125","1742.1925048828125","1742.1925048828125","16401.056640625","16401.056640625","16401.056640625"
"57","962.986572265625","962.986572265625","962.986572265625","1249.4901123046875","1249.4901123046875","1249.4901123046875","16666.16796875","16666.16796875","16666.16796875"
