"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS+)__MAX"
"1","0.6222537207654146","0.6222537207654146","0.6222537207654146","0.6289865343727853","0.6289865343727853","0.6289865343727853","0.5722891566265059","0.5722891566265059","0.5722891566265059"
"2","0.9291282778171509","0.9291282778171509","0.9291282778171509","0.6289865343727853","0.6289865343727853","0.6289865343727853","0.5489014883061659","0.5489014883061659","0.5489014883061659"
"3","0.7172218284904324","0.7172218284904324","0.7172218284904324","0.6470588235294118","0.6470588235294118","0.6470588235294118","0.4631467044649185","0.4631467044649185","0.4631467044649185"
"4","0.8589652728561303","0.8589652728561303","0.8589652728561303","0.7558469170800851","0.7558469170800851","0.7558469170800851","0.49787384833451453","0.49787384833451453","0.49787384833451453"
"5","0.6697377746279234","0.6697377746279234","0.6697377746279234","0.6612331679659816","0.6612331679659816","0.6612331679659816","0.5574060949681078","0.5574060949681078","0.5574060949681078"
"6","0.7944720056697376","0.7944720056697376","0.7944720056697376","0.5641389085754783","0.5641389085754783","0.5641389085754783","0.5807937632884479","0.5807937632884479","0.5807937632884479"
"7","0.6899362154500355","0.6899362154500355","0.6899362154500355","0.5347271438695961","0.5347271438695961","0.5347271438695961","0.5460666194188519","0.5460666194188519","0.5460666194188519"
"8","0.8625088589652729","0.8625088589652729","0.8625088589652729","0.6094968107725018","0.6094968107725018","0.6094968107725018","0.48653437278525863","0.48653437278525863","0.48653437278525863"
"9","0.5687455705173636","0.5687455705173636","0.5687455705173636","0.5935506732813607","0.5935506732813607","0.5935506732813607","0.5747696669029058","0.5747696669029058","0.5747696669029058"
"10","0.6583982990786676","0.6583982990786676","0.6583982990786676","0.6176470588235294","0.6176470588235294","0.6176470588235294","0.6335931963146704","0.6335931963146704","0.6335931963146704"
