"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUPRC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUPRC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUPRC (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUPRC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUPRC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUPRC (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUPRC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUPRC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUPRC (DiBS+)__MAX"
"1","0.43147058823529416","0.43147058823529416","0.43147058823529416","0.5195588235294117","0.5195588235294117","0.5195588235294117","0.3083820546474168","0.3083820546474168","0.3083820546474168"
"2","0.8923529411764706","0.8923529411764706","0.8923529411764706","0.5195588235294117","0.5195588235294117","0.5195588235294117","0.27255368814192343","0.27255368814192343","0.27255368814192343"
"3","0.6439304812834226","0.6439304812834226","0.6439304812834226","0.7070588235294117","0.7070588235294117","0.7070588235294117","0.15107843137254903","0.15107843137254903","0.15107843137254903"
"4","0.7481814686658976","0.7481814686658976","0.7481814686658976","0.554607843137255","0.554607843137255","0.554607843137255","0.2415686274509804","0.2415686274509804","0.2415686274509804"
"5","0.5251131221719456","0.5251131221719456","0.5251131221719456","0.5809103641456583","0.5809103641456583","0.5809103641456583","0.3255042016806723","0.3255042016806723","0.3255042016806723"
"6","0.6778277585544021","0.6778277585544021","0.6778277585544021","0.37252100840336133","0.37252100840336133","0.37252100840336133","0.36330882352941174","0.36330882352941174","0.36330882352941174"
"7","0.48201203208556154","0.48201203208556154","0.48201203208556154","0.30049019607843136","0.30049019607843136","0.30049019607843136","0.30823529411764705","0.30823529411764705","0.30823529411764705"
"8","0.7984917888724117","0.7984917888724117","0.7984917888724117","0.42099439775910363","0.42099439775910363","0.42099439775910363","0.20525210084033613","0.20525210084033613","0.20525210084033613"
"9","0.3459477124183007","0.3459477124183007","0.3459477124183007","0.4326470588235294","0.4326470588235294","0.4326470588235294","0.35411764705882354","0.35411764705882354","0.35411764705882354"
"10","0.5648039215686274","0.5648039215686274","0.5648039215686274","0.6826470588235294","0.6826470588235294","0.6826470588235294","0.44009287925696594","0.44009287925696594","0.44009287925696594"
"11","0.48921568627450984","0.48921568627450984","0.48921568627450984","0.40823529411764703","0.40823529411764703","0.40823529411764703","0.46223981900452493","0.46223981900452493","0.46223981900452493"
"12","0.5302941176470588","0.5302941176470588","0.5302941176470588","0.4785294117647058","0.4785294117647058","0.4785294117647058","0.14512605042016807","0.14512605042016807","0.14512605042016807"
"13","0.7139386189258312","0.7139386189258312","0.7139386189258312","0.5314705882352941","0.5314705882352941","0.5314705882352941","0.085","0.085","0.085"
"14","0.6531550802139038","0.6531550802139038","0.6531550802139038","0.6439304812834226","0.6439304812834226","0.6439304812834226","0.27361990950226245","0.27361990950226245","0.27361990950226245"
"15","0.7293464052287582","0.7293464052287582","0.7293464052287582","0.5326890756302521","0.5326890756302521","0.5326890756302521","0.3386377708978328","0.3386377708978328","0.3386377708978328"
"16","0.40794117647058825","0.40794117647058825","0.40794117647058825","0.6810504201680672","0.6810504201680672","0.6810504201680672","0.22473262032085561","0.22473262032085561","0.22473262032085561"
"17","0.6447712418300653","0.6447712418300653","0.6447712418300653","0.49004524886877826","0.49004524886877826","0.49004524886877826","0.27361990950226245","0.27361990950226245","0.27361990950226245"
"18","0.6261344537815127","0.6261344537815127","0.6261344537815127","0.533235294117647","0.533235294117647","0.533235294117647","0.374327731092437","0.374327731092437","0.374327731092437"
"19","0.44009287925696594","0.44009287925696594","0.44009287925696594","0.27812001723766433","0.27812001723766433","0.27812001723766433","0.48029411764705887","0.48029411764705887","0.48029411764705887"
"20","0.606218487394958","0.606218487394958","0.606218487394958","0.2676470588235294","0.2676470588235294","0.2676470588235294","0.18645510835913312","0.18645510835913312","0.18645510835913312"
"21","0.628921568627451","0.628921568627451","0.628921568627451","0.5826470588235294","0.5826470588235294","0.5826470588235294","0.2519852941176471","0.2519852941176471","0.2519852941176471"
"22","0.7692156862745099","0.7692156862745099","0.7692156862745099","0.39047536661723514","0.39047536661723514","0.39047536661723514","0.3981372549019607","0.3981372549019607","0.3981372549019607"
"23","0.7308823529411765","0.7308823529411765","0.7308823529411765","0.4829084967320261","0.4829084967320261","0.4829084967320261","0.29375816993464055","0.29375816993464055","0.29375816993464055"
"24","0.48921568627450984","0.48921568627450984","0.48921568627450984","0.3338235294117647","0.3338235294117647","0.3338235294117647","0.24647058823529414","0.24647058823529414","0.24647058823529414"
"25","0.4617647058823529","0.4617647058823529","0.4617647058823529","0.2639878892733564","0.2639878892733564","0.2639878892733564","0.5660084033613445","0.5660084033613445","0.5660084033613445"
