"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] F1 (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] F1 (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] F1 (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] F1 (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] F1 (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] F1 (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] F1 (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] F1 (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] F1 (DiBS+)__MAX"
"1","0.37500000000000006","0.37500000000000006","0.37500000000000006","0.4","0.4","0.4","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"2","0.8823529411764706","0.8823529411764706","0.8823529411764706","0.4","0.4","0.4","0.1935483870967742","0.1935483870967742","0.1935483870967742"
"3","0.5714285714285714","0.5714285714285714","0.5714285714285714","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.06896551724137931","0.06896551724137931","0.06896551724137931"
"4","0.5384615384615384","0.5384615384615384","0.5384615384615384","0.31999999999999995","0.31999999999999995","0.31999999999999995","0.17142857142857143","0.17142857142857143","0.17142857142857143"
"5","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.4347826086956522","0.4347826086956522","0.4347826086956522","0.2580645161290323","0.2580645161290323","0.2580645161290323"
"6","0.5384615384615384","0.5384615384615384","0.5384615384615384","0.25","0.25","0.25","0.30303030303030304","0.30303030303030304","0.30303030303030304"
"7","0.42424242424242425","0.42424242424242425","0.42424242424242425","0.1739130434782609","0.1739130434782609","0.1739130434782609","0.22222222222222224","0.22222222222222224","0.22222222222222224"
"8","0.6451612903225806","0.6451612903225806","0.6451612903225806","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.12903225806451615","0.12903225806451615","0.12903225806451615"
"9","0.28571428571428575","0.28571428571428575","0.28571428571428575","0.31999999999999995","0.31999999999999995","0.31999999999999995","0.29411764705882354","0.29411764705882354","0.29411764705882354"
"10","0.46153846153846156","0.46153846153846156","0.46153846153846156","0.38095238095238093","0.38095238095238093","0.38095238095238093","0.3888888888888889","0.3888888888888889","0.3888888888888889"
"11","0.43749999999999994","0.43749999999999994","0.43749999999999994","0.2608695652173913","0.2608695652173913","0.2608695652173913","0.4000000000000001","0.4000000000000001","0.4000000000000001"
"12","0.48484848484848486","0.48484848484848486","0.48484848484848486","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.06451612903225808","0.06451612903225808","0.06451612903225808"
"13","0.6206896551724139","0.6206896551724139","0.6206896551724139","0.4444444444444445","0.4444444444444445","0.4444444444444445","0","0","0"
"14","0.5625","0.5625","0.5625","0.5714285714285714","0.5714285714285714","0.5714285714285714","0.20000000000000004","0.20000000000000004","0.20000000000000004"
"15","0.5384615384615384","0.5384615384615384","0.5384615384615384","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.27777777777777773","0.27777777777777773","0.27777777777777773"
"16","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.14285714285714285","0.14285714285714285","0.14285714285714285"
"17","0.5384615384615384","0.5384615384615384","0.5384615384615384","0.37037037037037035","0.37037037037037035","0.37037037037037035","0.20000000000000004","0.20000000000000004","0.20000000000000004"
