"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] precision (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] precision (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] precision (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] precision (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] precision (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] precision (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] precision (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] precision (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] precision (DiBS+)__MAX"
"1","0.4","0.4","0.4","0.625","0.625","0.625","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"2","0.8823529411764706","0.8823529411764706","0.8823529411764706","0.625","0.625","0.625","0.21428571428571427","0.21428571428571427","0.21428571428571427"
"3","0.7272727272727273","0.7272727272727273","0.7272727272727273","1","1","1","0.08333333333333333","0.08333333333333333","0.08333333333333333"
"4","0.7777777777777778","0.7777777777777778","0.7777777777777778","0.5","0.5","0.5","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"5","0.5384615384615384","0.5384615384615384","0.5384615384615384","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"6","0.7777777777777778","0.7777777777777778","0.7777777777777778","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.3125","0.3125","0.3125"
"7","0.4375","0.4375","0.4375","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3","0.3","0.3"
"8","0.7142857142857143","0.7142857142857143","0.7142857142857143","0.5714285714285714","0.5714285714285714","0.5714285714285714","0.14285714285714285","0.14285714285714285","0.14285714285714285"
"9","0.2777777777777778","0.2777777777777778","0.2777777777777778","0.5","0.5","0.5","0.29411764705882354","0.29411764705882354","0.29411764705882354"
"10","0.6666666666666666","0.6666666666666666","0.6666666666666666","1","1","1","0.3684210526315789","0.3684210526315789","0.3684210526315789"
"11","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.5","0.5","0.5","0.46153846153846156","0.46153846153846156","0.46153846153846156"
"12","0.5","0.5","0.5","0.4","0.4","0.4","0.07142857142857142","0.07142857142857142","0.07142857142857142"
"13","0.75","0.75","0.75","0.6","0.6","0.6","0","0","0"
"14","0.6","0.6","0.6","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.23076923076923078","0.23076923076923078","0.23076923076923078"
"15","0.7777777777777778","0.7777777777777778","0.7777777777777778","0.7142857142857143","0.7142857142857143","0.7142857142857143","0.2631578947368421","0.2631578947368421","0.2631578947368421"
"16","0.35294117647058826","0.35294117647058826","0.35294117647058826","1","1","1","0.18181818181818182","0.18181818181818182","0.18181818181818182"
"17","0.7777777777777778","0.7777777777777778","0.7777777777777778","0.5","0.5","0.5","0.23076923076923078","0.23076923076923078","0.23076923076923078"
"18","0.6428571428571429","0.6428571428571429","0.6428571428571429","0.75","0.75","0.75","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"19","0.3684210526315789","0.3684210526315789","0.3684210526315789","0.3076923076923077","0.3076923076923077","0.3076923076923077","0.4","0.4","0.4"
"20","0.6428571428571429","0.6428571428571429","0.6428571428571429","0.4","0.4","0.4","0.10526315789473684","0.10526315789473684","0.10526315789473684"
"21","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.8","0.8","0.8","0.1875","0.1875","0.1875"
"22","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"23","0.75","0.75","0.75","0.5","0.5","0.5","0.2222222222222222","0.2222222222222222","0.2222222222222222"
"24","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.4","0.4","0.4","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"25","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.375","0.375","0.375","0.5714285714285714","0.5714285714285714","0.5714285714285714"
"26","0.9","0.9","0.9","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.1875","0.1875","0.1875"
"27","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5","0.5","0.5","0.1111111111111111","0.1111111111111111","0.1111111111111111"
"28","0.2777777777777778","0.2777777777777778","0.2777777777777778","1","1","1","0.375","0.375","0.375"
"29","0.8","0.8","0.8","0.625","0.625","0.625","0.07692307692307693","0.07692307692307693","0.07692307692307693"
"30","0.75","0.75","0.75","0.625","0.625","0.625","0.2727272727272727","0.2727272727272727","0.2727272727272727"
"31","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.75","0.75","0.75","0","0","0"
"32","0.7","0.7","0.7","0.5","0.5","0.5","0.26666666666666666","0.26666666666666666","0.26666666666666666"
"33","0.6153846153846154","0.6153846153846154","0.6153846153846154","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3076923076923077","0.3076923076923077","0.3076923076923077"
"34","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.13333333333333333","0.13333333333333333","0.13333333333333333"
"35","0.38461538461538464","0.38461538461538464","0.38461538461538464","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.1875","0.1875","0.1875"
"36","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.7142857142857143","0.7142857142857143","0.7142857142857143","0.13333333333333333","0.13333333333333333","0.13333333333333333"
"37","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.5","0.5","0.5","0.15","0.15","0.15"
"38","0.8461538461538461","0.8461538461538461","0.8461538461538461","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"39","0.631578947368421","0.631578947368421","0.631578947368421","0.5555555555555556","0.5555555555555556","0.5555555555555556","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"40","0.9230769230769231","0.9230769230769231","0.9230769230769231","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.1875","0.1875","0.1875"
"41","0.7142857142857143","0.7142857142857143","0.7142857142857143","0.7142857142857143","0.7142857142857143","0.7142857142857143","0.2","0.2","0.2"
"42","0.35714285714285715","0.35714285714285715","0.35714285714285715","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.08333333333333333","0.08333333333333333","0.08333333333333333"
"43","0.5","0.5","0.5","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.1","0.1","0.1"
"44","0.9230769230769231","0.9230769230769231","0.9230769230769231","0.75","0.75","0.75","0.125","0.125","0.125"
"45","0.42105263157894735","0.42105263157894735","0.42105263157894735","0.5","0.5","0.5","0.1875","0.1875","0.1875"
"46","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.3076923076923077","0.3076923076923077","0.3076923076923077"
"47","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5","0.5","0.5","0.1111111111111111","0.1111111111111111","0.1111111111111111"
"48","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.1111111111111111","0.1111111111111111","0.1111111111111111"
"49","0.6923076923076923","0.6923076923076923","0.6923076923076923","0.5","0.5","0.5","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"50","0.6153846153846154","0.6153846153846154","0.6153846153846154","0.3","0.3","0.3","0.3125","0.3125","0.3125"
