"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] recall (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] recall (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] recall (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] recall (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] recall (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] recall (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] recall (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] recall (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] recall (DiBS+)__MAX"
"1","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"2","0.8823529411764706","0.8823529411764706","0.8823529411764706","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"3","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"4","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"5","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"6","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.29411764705882354","0.29411764705882354","0.29411764705882354"
"7","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"8","0.5882352941176471","0.5882352941176471","0.5882352941176471","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"9","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.29411764705882354","0.29411764705882354","0.29411764705882354"
"10","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.4117647058823529","0.4117647058823529","0.4117647058823529"
"11","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.35294117647058826","0.35294117647058826","0.35294117647058826"
