"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] E-SHD (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] E-SHD (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] E-SHD (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] E-SHD (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] E-SHD (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] E-SHD (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] E-SHD (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] E-SHD (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] E-SHD (DiBS)__MAX"
"1","3.5789475440979004","3.5789475440979004","3.5789475440979004","3.6315791606903076","3.6315791606903076","3.6315791606903076","4.55555534362793","4.55555534362793","4.55555534362793"
"2","4.149999141693115","4.149999141693115","4.149999141693115","4.34999942779541","4.34999942779541","4.34999942779541","4.5789475440979","4.5789475440979","4.5789475440979"
"3","2.9473679065704346","2.9473679065704346","2.9473679065704346","3.90000057220459","3.90000057220459","3.90000057220459","4.099999904632568","4.099999904632568","4.099999904632568"
"4","3.157895088195801","3.157895088195801","3.157895088195801","4.299999237060547","4.299999237060547","4.299999237060547","3.799999713897705","3.799999713897705","3.799999713897705"
"5","3.3684213161468506","3.3684213161468506","3.3684213161468506","3.799999713897705","3.799999713897705","3.799999713897705","4.529411315917969","4.529411315917969","4.529411315917969"
"6","2.8499999046325684","2.8499999046325684","2.8499999046325684","2.750000238418579","2.750000238418579","2.750000238418579","4.052631378173828","4.052631378173828","4.052631378173828"
"7","3.263157606124878","3.263157606124878","3.263157606124878","3.388888359069824","3.388888359069824","3.388888359069824","4.8666672706604","4.8666672706604","4.8666672706604"
"8","4","4","4","4.400000095367432","4.400000095367432","4.400000095367432","4.277777194976807","4.277777194976807","4.277777194976807"
"9","3.5500004291534424","3.5500004291534424","3.5500004291534424","4.600000381469727","4.600000381469727","4.600000381469727","3.90000057220459","3.90000057220459","3.90000057220459"
"10","3.4999992847442627","3.4999992847442627","3.4999992847442627","4.1999993324279785","4.1999993324279785","4.1999993324279785","4.11764669418335","4.11764669418335","4.11764669418335"
