"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] E-SHD (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] E-SHD (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] E-SHD (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] E-SHD (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] E-SHD (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] E-SHD (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] E-SHD (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] E-SHD (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] E-SHD (DiBS+)__MAX"
"1","2","2","2","2","2","2","2","2","2"
"2","4","4","4","4","4","4","3","3","3"
"3","2.001190662384033","2.001190662384033","2.001190662384033","1","1","1","3","3","3"
"4","1","1","1","3","3","3","3","3","3"
"5","1","1","1","2","2","2","4","4","4"
"6","1","1","1","1","1","1","2","2","2"
"7","1","1","1","1","1","1","4","4","4"
"8","2","2","2","3","3","3","4","4","4"
"9","2","2","2","3","3","3","2","2","2"
"10","2","2","2","2","2","2","3","3","3"
"11","1","1","1","3","3","3","4","4","4"
"12","1.281830923665755e-18","1.281830923665755e-18","1.281830923665755e-18","1","1","1","1","1","1"
"13","1","1","1","2.000000238418579","2.000000238418579","2.000000238418579","3","3","3"
"14","2","2","2","1","1","1","2","2","2"
"15","2","2","2","2","2","2","2","2","2"
"16","1.9999998807907104","1.9999998807907104","1.9999998807907104","3","3","3","4","4","4"
"17","1","1","1","3","3","3","2","2","2"
"18","1","1","1","0","0","0","4","4","4"
"19","3","3","3","2","2","2","5.000000476837158","5.000000476837158","5.000000476837158"
"20","0","0","0","1","1","1","1","1","1"
"21","0","0","0","2","2","2","2","2","2"
"22","3","3","3","4","4","4","5.000000476837158","5.000000476837158","5.000000476837158"
"23","2","2","2","3","3","3","2","2","2"
"24","3.0000572204589844","3.0000572204589844","3.0000572204589844","4","4","4","2","2","2"
"25","0","0","0","4","4","4","1","1","1"
"26","1","1","1","2","2","2","4","4","4"
"27","1","1","1","1","1","1","2","2","2"
"28","2","2","2","2","2","2","2","2","2"
"29","2","2","2","2","2","2","4.000095367431641","4.000095367431641","4.000095367431641"
"30","2","2","2","2","2","2","3","3","3"
"31","3","3","3","2","2","2","3","3","3"
"32","4","4","4","2","2","2","3","3","3"
"33","2","2","2","4","4","4","3","3","3"
"34","1.0000056028366089","1.0000056028366089","1.0000056028366089","1","1","1","4","4","4"
"35","3","3","3","2","2","2","1.1675826065366204e-27","1.1675826065366204e-27","1.1675826065366204e-27"
"36","2","2","2","2.814495801925659","2.814495801925659","2.814495801925659","4","4","4"
"37","1.6454458236694336","1.6454458236694336","1.6454458236694336","1","1","1","3","3","3"
"38","3.629718065261841","3.629718065261841","3.629718065261841","6.3686517519468586e-21","6.3686517519468586e-21","6.3686517519468586e-21","1","1","1"
"39","2","2","2","2","2","2","2","2","2"
"40","4","4","4","2","2","2","3","3","3"
"41","2","2","2","1.9343732595443726","1.9343732595443726","1.9343732595443726","2","2","2"
"42","3.0345535278320312","3.0345535278320312","3.0345535278320312","1","1","1","2","2","2"
"43","1","1","1","1","1","1","1","1","1"
"44","2.9999935626983643","2.9999935626983643","2.9999935626983643","3","3","3","3","3","3"
"45","1.999999761581421","1.999999761581421","1.999999761581421","1","1","1","1","1","1"
"46","2.0000007152557373","2.0000007152557373","2.0000007152557373","4","4","4","6.000226020812988","6.000226020812988","6.000226020812988"
"47","0","0","0","3","3","3","2","2","2"
"48","1","1","1","3","3","3","0","0","0"
