"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS)__MAX"
"1","882.714599609375","882.714599609375","882.714599609375","1240.0732421875","1240.0732421875","1240.0732421875","2655.123291015625","2655.123291015625","2655.123291015625"
"2","889.8541870117188","889.8541870117188","889.8541870117188","1032.107177734375","1032.107177734375","1032.107177734375","2463.296142578125","2463.296142578125","2463.296142578125"
"3","940.0490112304688","940.0490112304688","940.0490112304688","845.1727905273438","845.1727905273438","845.1727905273438","2126.229736328125","2126.229736328125","2126.229736328125"
"4","821.3583374023438","821.3583374023438","821.3583374023438","1020.5040893554688","1020.5040893554688","1020.5040893554688","2695.74853515625","2695.74853515625","2695.74853515625"
"5","796.0786743164062","796.0786743164062","796.0786743164062","733.0932006835938","733.0932006835938","733.0932006835938","1895.4132080078125","1895.4132080078125","1895.4132080078125"
"6","944.061279296875","944.061279296875","944.061279296875","1170.2244873046875","1170.2244873046875","1170.2244873046875","4327.7197265625","4327.7197265625","4327.7197265625"
"7","786.54150390625","786.54150390625","786.54150390625","994.72119140625","994.72119140625","994.72119140625","3323.98974609375","3323.98974609375","3323.98974609375"
"8","909.1009521484375","909.1009521484375","909.1009521484375","934.0223999023438","934.0223999023438","934.0223999023438","2144.08642578125","2144.08642578125","2144.08642578125"
"9","913.17626953125","913.17626953125","913.17626953125","784.9528198242188","784.9528198242188","784.9528198242188","1786.255615234375","1786.255615234375","1786.255615234375"
"10","791.8263549804688","791.8263549804688","791.8263549804688","652.8609619140625","652.8609619140625","652.8609619140625","3149.744384765625","3149.744384765625","3149.744384765625"
"11","1066.6566162109375","1066.6566162109375","1066.6566162109375","1300.620849609375","1300.620849609375","1300.620849609375","3030.651611328125","3030.651611328125","3030.651611328125"
"12","1082.861083984375","1082.861083984375","1082.861083984375","1582.5257568359375","1582.5257568359375","1582.5257568359375","3418.19677734375","3418.19677734375","3418.19677734375"
"13","889.4791259765625","889.4791259765625","889.4791259765625","1384.3387451171875","1384.3387451171875","1384.3387451171875","4373.61279296875","4373.61279296875","4373.61279296875"
"14","763.32861328125","763.32861328125","763.32861328125","1167.198486328125","1167.198486328125","1167.198486328125","4011.554443359375","4011.554443359375","4011.554443359375"
"15","829.5681762695312","829.5681762695312","829.5681762695312","846.9551391601562","846.9551391601562","846.9551391601562","2439.9404296875","2439.9404296875","2439.9404296875"
"16","793.6983032226562","793.6983032226562","793.6983032226562","909.6464233398438","909.6464233398438","909.6464233398438","2184.420654296875","2184.420654296875","2184.420654296875"
"17","986.0596313476562","986.0596313476562","986.0596313476562","953.4449462890625","953.4449462890625","953.4449462890625","4813.85595703125","4813.85595703125","4813.85595703125"
"18","694.244873046875","694.244873046875","694.244873046875","682.4127807617188","682.4127807617188","682.4127807617188","1807.486328125","1807.486328125","1807.486328125"
"19","1009.156494140625","1009.156494140625","1009.156494140625","1778.9268798828125","1778.9268798828125","1778.9268798828125","2347.676513671875","2347.676513671875","2347.676513671875"
"20","936.1492919921875","936.1492919921875","936.1492919921875","1224.964599609375","1224.964599609375","1224.964599609375","2550.36376953125","2550.36376953125","2550.36376953125"
"21","984.1975708007812","984.1975708007812","984.1975708007812","976.9874267578125","976.9874267578125","976.9874267578125","2846.5693359375","2846.5693359375","2846.5693359375"
"22","733.7052001953125","733.7052001953125","733.7052001953125","761.643798828125","761.643798828125","761.643798828125","1933.3323974609375","1933.3323974609375","1933.3323974609375"
"23","765.85009765625","765.85009765625","765.85009765625","2555.45458984375","2555.45458984375","2555.45458984375","3439.776611328125","3439.776611328125","3439.776611328125"
"24","938.216552734375","938.216552734375","938.216552734375","1055.11572265625","1055.11572265625","1055.11572265625","2959.814453125","2959.814453125","2959.814453125"
"25","1244.7830810546875","1244.7830810546875","1244.7830810546875","862.3783569335938","862.3783569335938","862.3783569335938","2913.270751953125","2913.270751953125","2913.270751953125"
"26","748.3853149414062","748.3853149414062","748.3853149414062","946.2755737304688","946.2755737304688","946.2755737304688","3222.55419921875","3222.55419921875","3222.55419921875"
"27","1414.077880859375","1414.077880859375","1414.077880859375","2430.511474609375","2430.511474609375","2430.511474609375","8528.919921875","8528.919921875","8528.919921875"
"28","1063.919677734375","1063.919677734375","1063.919677734375","1245.302001953125","1245.302001953125","1245.302001953125","4239.6650390625","4239.6650390625","4239.6650390625"
"29","666.2672119140625","666.2672119140625","666.2672119140625","663.0687255859375","663.0687255859375","663.0687255859375","1567.27734375","1567.27734375","1567.27734375"
"30","1068.449462890625","1068.449462890625","1068.449462890625","1166.1982421875","1166.1982421875","1166.1982421875","2572.56640625","2572.56640625","2572.56640625"
"31","792.9085083007812","792.9085083007812","792.9085083007812","1148.88037109375","1148.88037109375","1148.88037109375","3056.18408203125","3056.18408203125","3056.18408203125"
"32","785.0149536132812","785.0149536132812","785.0149536132812","780.7108764648438","780.7108764648438","780.7108764648438","1999.61962890625","1999.61962890625","1999.61962890625"
"33","846.1776123046875","846.1776123046875","846.1776123046875","808.2411499023438","808.2411499023438","808.2411499023438","2037.028564453125","2037.028564453125","2037.028564453125"
"34","672.1277465820312","672.1277465820312","672.1277465820312","659.9421997070312","659.9421997070312","659.9421997070312","1832.0743408203125","1832.0743408203125","1832.0743408203125"
"35","909.7153930664062","909.7153930664062","909.7153930664062","1271.413330078125","1271.413330078125","1271.413330078125","2854.682861328125","2854.682861328125","2854.682861328125"
"36","857.0499267578125","857.0499267578125","857.0499267578125","841.6144409179688","841.6144409179688","841.6144409179688","2264.474853515625","2264.474853515625","2264.474853515625"
"37","1294.8604736328125","1294.8604736328125","1294.8604736328125","1214.5750732421875","1214.5750732421875","1214.5750732421875","4603.37744140625","4603.37744140625","4603.37744140625"
"38","866.2747802734375","866.2747802734375","866.2747802734375","907.8333740234375","907.8333740234375","907.8333740234375","2789.920166015625","2789.920166015625","2789.920166015625"
"39","933.052001953125","933.052001953125","933.052001953125","1477.9078369140625","1477.9078369140625","1477.9078369140625","5305.8271484375","5305.8271484375","5305.8271484375"
"40","771.3056030273438","771.3056030273438","771.3056030273438","742.865234375","742.865234375","742.865234375","1875.2640380859375","1875.2640380859375","1875.2640380859375"
"41","1257.1468505859375","1257.1468505859375","1257.1468505859375","1125.110595703125","1125.110595703125","1125.110595703125","3856.1162109375","3856.1162109375","3856.1162109375"
"42","1864.46826171875","1864.46826171875","1864.46826171875","878.6806030273438","878.6806030273438","878.6806030273438","2547.355712890625","2547.355712890625","2547.355712890625"
"43","600.7713012695312","600.7713012695312","600.7713012695312","825.1094970703125","825.1094970703125","825.1094970703125","2185.360595703125","2185.360595703125","2185.360595703125"
"44","885.0343017578125","885.0343017578125","885.0343017578125","1102.9197998046875","1102.9197998046875","1102.9197998046875","2293.8720703125","2293.8720703125","2293.8720703125"
"45","875.4945068359375","875.4945068359375","875.4945068359375","1810.8516845703125","1810.8516845703125","1810.8516845703125","3965.907958984375","3965.907958984375","3965.907958984375"
"46","700.555908203125","700.555908203125","700.555908203125","845.9872436523438","845.9872436523438","845.9872436523438","2886.398681640625","2886.398681640625","2886.398681640625"
"47","976.6455078125","976.6455078125","976.6455078125","1205.0111083984375","1205.0111083984375","1205.0111083984375","3672.45751953125","3672.45751953125","3672.45751953125"
"48","1280.4761962890625","1280.4761962890625","1280.4761962890625","1282.3900146484375","1282.3900146484375","1282.3900146484375","2730.608154296875","2730.608154296875","2730.608154296875"
"49","770.5078735351562","770.5078735351562","770.5078735351562","1036.434326171875","1036.434326171875","1036.434326171875","2370.0146484375","2370.0146484375","2370.0146484375"
"50","1170.3651123046875","1170.3651123046875","1170.3651123046875","956.1328735351562","956.1328735351562","956.1328735351562","2725.822021484375","2725.822021484375","2725.822021484375"
"51","963.9812622070312","963.9812622070312","963.9812622070312","700.677490234375","700.677490234375","700.677490234375","2212.641845703125","2212.641845703125","2212.641845703125"
"52","1027.2591552734375","1027.2591552734375","1027.2591552734375","1066.7349853515625","1066.7349853515625","1066.7349853515625","3061","3061","3061"
"53","1051.8756103515625","1051.8756103515625","1051.8756103515625","1607.7166748046875","1607.7166748046875","1607.7166748046875","5050.86669921875","5050.86669921875","5050.86669921875"
"54","836.2515869140625","836.2515869140625","836.2515869140625","884.3424682617188","884.3424682617188","884.3424682617188","3180.26318359375","3180.26318359375","3180.26318359375"
"55","764.685302734375","764.685302734375","764.685302734375","837.5037841796875","837.5037841796875","837.5037841796875","2064.372802734375","2064.372802734375","2064.372802734375"
"56","898.877685546875","898.877685546875","898.877685546875","929.9747314453125","929.9747314453125","929.9747314453125","8150.64013671875","8150.64013671875","8150.64013671875"
"57","767.5178833007812","767.5178833007812","767.5178833007812","849.6499633789062","849.6499633789062","849.6499633789062","3052.79638671875","3052.79638671875","3052.79638671875"
"58","901.49560546875","901.49560546875","901.49560546875","1656.466796875","1656.466796875","1656.466796875","3898.740478515625","3898.740478515625","3898.740478515625"
"59","742.8744506835938","742.8744506835938","742.8744506835938","856.2387084960938","856.2387084960938","856.2387084960938","3272.636962890625","3272.636962890625","3272.636962890625"
"60","837.2714233398438","837.2714233398438","837.2714233398438","1029.348876953125","1029.348876953125","1029.348876953125","2517.847412109375","2517.847412109375","2517.847412109375"
"61","827.2861328125","827.2861328125","827.2861328125","1481.6270751953125","1481.6270751953125","1481.6270751953125","3137.701171875","3137.701171875","3137.701171875"
"62","1562.3795166015625","1562.3795166015625","1562.3795166015625","4670.33056640625","4670.33056640625","4670.33056640625","4151.65966796875","4151.65966796875","4151.65966796875"
"63","891.951904296875","891.951904296875","891.951904296875","1451.564697265625","1451.564697265625","1451.564697265625","2737.892333984375","2737.892333984375","2737.892333984375"
"64","935.6262817382812","935.6262817382812","935.6262817382812","789.1697387695312","789.1697387695312","789.1697387695312","2580.13623046875","2580.13623046875","2580.13623046875"
"65","980.1600341796875","980.1600341796875","980.1600341796875","1879.106689453125","1879.106689453125","1879.106689453125","5187.06689453125","5187.06689453125","5187.06689453125"
"66","800.36669921875","800.36669921875","800.36669921875","770.6004638671875","770.6004638671875","770.6004638671875","1813.858154296875","1813.858154296875","1813.858154296875"
"67","663.8963623046875","663.8963623046875","663.8963623046875","732.146484375","732.146484375","732.146484375","2222.66552734375","2222.66552734375","2222.66552734375"
"68","1047.4755859375","1047.4755859375","1047.4755859375","1462.85400390625","1462.85400390625","1462.85400390625","3317.32666015625","3317.32666015625","3317.32666015625"
"69","885.2132568359375","885.2132568359375","885.2132568359375","1097.6365966796875","1097.6365966796875","1097.6365966796875","2701.547119140625","2701.547119140625","2701.547119140625"
"70","932.4061889648438","932.4061889648438","932.4061889648438","840.8434448242188","840.8434448242188","840.8434448242188","3130.00244140625","3130.00244140625","3130.00244140625"
"71","773.0789184570312","773.0789184570312","773.0789184570312","1009.2507934570312","1009.2507934570312","1009.2507934570312","2240.682373046875","2240.682373046875","2240.682373046875"
