"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS+)__MAX"
"1","587.057373046875","587.057373046875","587.057373046875","672.6430053710938","672.6430053710938","672.6430053710938","1612.0770263671875","1612.0770263671875","1612.0770263671875"
"2","618.4518432617188","618.4518432617188","618.4518432617188","682.9066162109375","682.9066162109375","682.9066162109375","1673.837890625","1673.837890625","1673.837890625"
"3","620.37939453125","620.37939453125","620.37939453125","623.1401977539062","623.1401977539062","623.1401977539062","1555.851318359375","1555.851318359375","1555.851318359375"
"4","589.2120361328125","589.2120361328125","589.2120361328125","639.5933227539062","639.5933227539062","639.5933227539062","1839.810546875","1839.810546875","1839.810546875"
"5","590.4404907226562","590.4404907226562","590.4404907226562","556.1527709960938","556.1527709960938","556.1527709960938","1444.9952392578125","1444.9952392578125","1444.9952392578125"
"6","612.5672607421875","612.5672607421875","612.5672607421875","692.9490966796875","692.9490966796875","692.9490966796875","3001.683349609375","3001.683349609375","3001.683349609375"
"7","580.2295532226562","580.2295532226562","580.2295532226562","679.7730712890625","679.7730712890625","679.7730712890625","2196.01220703125","2196.01220703125","2196.01220703125"
"8","592.437255859375","592.437255859375","592.437255859375","699.9685668945312","699.9685668945312","699.9685668945312","1661.421142578125","1661.421142578125","1661.421142578125"
"9","669.962158203125","669.962158203125","669.962158203125","638.6074829101562","638.6074829101562","638.6074829101562","1464.145751953125","1464.145751953125","1464.145751953125"
"10","593.0952758789062","593.0952758789062","593.0952758789062","572.5518798828125","572.5518798828125","572.5518798828125","1500.22265625","1500.22265625","1500.22265625"
"11","589.1954345703125","589.1954345703125","589.1954345703125","779.698974609375","779.698974609375","779.698974609375","2078.97998046875","2078.97998046875","2078.97998046875"
