"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS)__MAX"
"1","1","1","1","0.9416666666666668","0.9416666666666668","0.9416666666666668","0.675","0.675","0.675"
"2","0.9333333333333333","0.9333333333333333","0.9333333333333333","0.7583333333333333","0.7583333333333333","0.7583333333333333","0.675","0.675","0.675"
"3","0.9272727272727272","0.9272727272727272","0.9272727272727272","0.890909090909091","0.890909090909091","0.890909090909091","0.7727272727272727","0.7727272727272727","0.7727272727272727"
"4","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.8416666666666666","0.8416666666666666","0.8416666666666666","1","1","1"
"5","0.9583333333333334","0.9583333333333334","0.9583333333333334","0.9","0.9","0.9","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"6","1","1","1","0.9833333333333333","0.9833333333333333","0.9833333333333333","0.8583333333333334","0.8583333333333334","0.8583333333333334"
"7","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.9416666666666667","0.9416666666666667","0.9416666666666667","0.6166666666666666","0.6166666666666666","0.6166666666666666"
"8","0.8999999999999999","0.8999999999999999","0.8999999999999999","0.8","0.8","0.8","0.85","0.85","0.85"
"9","1","1","1","0.7583333333333333","0.7583333333333333","0.7583333333333333","0.9833333333333334","0.9833333333333334","0.9833333333333334"
"10","0.9916666666666667","0.9916666666666667","0.9916666666666667","0.9166666666666666","0.9166666666666666","0.9166666666666666","0.9416666666666667","0.9416666666666667","0.9416666666666667"
