"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS+)__MAX"
"1","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.7833333333333333","0.7833333333333333","0.7833333333333333"
"2","0.8083333333333333","0.8083333333333333","0.8083333333333333","0.5666666666666667","0.5666666666666667","0.5666666666666667","0.7000000000000001","0.7000000000000001","0.7000000000000001"
"3","0.7454545454545455","0.7454545454545455","0.7454545454545455","0.9","0.9","0.9","0.7545454545454545","0.7545454545454545","0.7545454545454545"
"4","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.7000000000000001","0.7000000000000001","0.7000000000000001","0.8500000000000001","0.8500000000000001","0.8500000000000001"
"5","1","1","1","0.7666666666666666","0.7666666666666666","0.7666666666666666","0.5666666666666667","0.5666666666666667","0.5666666666666667"
"6","0.9750000000000001","0.9750000000000001","0.9750000000000001","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.7833333333333333","0.7833333333333333","0.7833333333333333"
"7","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.5666666666666667","0.5666666666666667","0.5666666666666667"
"8","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.8500000000000001","0.8500000000000001","0.8500000000000001","0.6249999999999999","0.6249999999999999","0.6249999999999999"
"9","0.9000000000000001","0.9000000000000001","0.9000000000000001","0.5999999999999999","0.5999999999999999","0.5999999999999999","0.9166666666666667","0.9166666666666667","0.9166666666666667"
"10","0.8416666666666668","0.8416666666666668","0.8416666666666668","0.7833333333333333","0.7833333333333333","0.7833333333333333","0.75","0.75","0.75"
"11","0.8666666666666667","0.8666666666666667","0.8666666666666667","0.75","0.75","0.75","0.5666666666666667","0.5666666666666667","0.5666666666666667"
"12","1","1","1","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667"
"13","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.7000000000000001","0.7000000000000001","0.7000000000000001"
"14","0.7833333333333333","0.7833333333333333","0.7833333333333333","0.8583333333333334","0.8583333333333334","0.8583333333333334","0.7833333333333333","0.7833333333333333","0.7833333333333333"
"15","0.7999999999999999","0.7999999999999999","0.7999999999999999","0.7833333333333333","0.7833333333333333","0.7833333333333333","0.8583333333333334","0.8583333333333334","0.8583333333333334"
"16","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.8500000000000001","0.8500000000000001","0.8500000000000001","0.6333333333333333","0.6333333333333333","0.6333333333333333"
"17","1","1","1","0.75","0.75","0.75","0.8333333333333333","0.8333333333333333","0.8333333333333333"
"18","0.9166666666666667","0.9166666666666667","0.9166666666666667","1","1","1","0.6333333333333334","0.6333333333333334","0.6333333333333334"
"19","0.7000000000000001","0.7000000000000001","0.7000000000000001","0.8","0.8","0.8","0.4833333333333334","0.4833333333333334","0.4833333333333334"
"20","1","1","1","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667"
"21","1","1","1","0.8583333333333334","0.8583333333333334","0.8583333333333334","0.7833333333333333","0.7833333333333333","0.7833333333333333"
