"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUPRC (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUPRC (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUPRC (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUPRC (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUPRC (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUPRC (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUPRC (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUPRC (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUPRC (DiBS+)__MAX"
"1","0.9761904761904763","0.9761904761904763","0.9761904761904763","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.7958333333333334","0.7958333333333334","0.7958333333333334"
"2","0.7137896825396826","0.7137896825396826","0.7137896825396826","0.5416666666666667","0.5416666666666667","0.5416666666666667","0.71875","0.71875","0.71875"
"3","0.6875","0.6875","0.6875","0.93125","0.93125","0.93125","0.7375","0.7375","0.7375"
"4","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.71875","0.71875","0.71875","0.8020833333333334","0.8020833333333334","0.8020833333333334"
"5","1","1","1","0.773611111111111","0.773611111111111","0.773611111111111","0.5416666666666667","0.5416666666666667","0.5416666666666667"
"6","0.9603174603174603","0.9603174603174603","0.9603174603174603","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.7958333333333334","0.7958333333333334","0.7958333333333334"
"7","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.5416666666666667","0.5416666666666667","0.5416666666666667"
"8","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.8020833333333334","0.8020833333333334","0.8020833333333334","0.59375","0.59375","0.59375"
"9","0.9241071428571429","0.9241071428571429","0.9241071428571429","0.59375","0.59375","0.59375","0.9479166666666667","0.9479166666666667","0.9479166666666667"
"10","0.8169642857142858","0.8169642857142858","0.8169642857142858","0.7958333333333334","0.7958333333333334","0.7958333333333334","0.84375","0.84375","0.84375"
"11","0.8645833333333334","0.8645833333333334","0.8645833333333334","0.84375","0.84375","0.84375","0.5416666666666667","0.5416666666666667","0.5416666666666667"
"12","1","1","1","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667"
"13","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.71875","0.71875","0.71875"
"14","0.7958333333333334","0.7958333333333334","0.7958333333333334","0.8546626984126985","0.8546626984126985","0.8546626984126985","0.7958333333333334","0.7958333333333334","0.7958333333333334"
"15","0.8402777777777777","0.8402777777777777","0.8402777777777777","0.7958333333333334","0.7958333333333334","0.7958333333333334","0.86875","0.86875","0.86875"
"16","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.8020833333333334","0.8020833333333334","0.8020833333333334","0.5529761904761904","0.5529761904761904","0.5529761904761904"
"17","1","1","1","0.84375","0.84375","0.84375","0.8958333333333333","0.8958333333333333","0.8958333333333333"
"18","0.9479166666666667","0.9479166666666667","0.9479166666666667","1","1","1","0.5854166666666667","0.5854166666666667","0.5854166666666667"
"19","0.71875","0.71875","0.71875","0.7614087301587301","0.7614087301587301","0.7614087301587301","0.40625","0.40625","0.40625"
"20","1","1","1","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667"
"21","1","1","1","0.8368055555555556","0.8368055555555556","0.8368055555555556","0.7958333333333334","0.7958333333333334","0.7958333333333334"
"22","0.78125","0.78125","0.78125","0.4916666666666667","0.4916666666666667","0.4916666666666667","0.4950396825396825","0.4950396825396825","0.4950396825396825"
"23","0.8625","0.8625","0.8625","0.71875","0.71875","0.71875","0.7958333333333334","0.7958333333333334","0.7958333333333334"
"24","0.65","0.65","0.65","0.6502976190476191","0.6502976190476191","0.6502976190476191","0.8958333333333333","0.8958333333333333","0.8958333333333333"
"25","1","1","1","0.5416666666666667","0.5416666666666667","0.5416666666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667"
"26","1","1","1","0.7958333333333334","0.7958333333333334","0.7958333333333334","0.4916666666666667","0.4916666666666667","0.4916666666666667"
"27","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.7958333333333334","0.7958333333333334","0.7958333333333334"
"28","0.910218253968254","0.910218253968254","0.910218253968254","0.8169642857142858","0.8169642857142858","0.8169642857142858","0.7958333333333334","0.7958333333333334","0.7958333333333334"
"29","0.8761904761904762","0.8761904761904762","0.8761904761904762","0.9027777777777778","0.9027777777777778","0.9027777777777778","0.5434523809523809","0.5434523809523809","0.5434523809523809"
"30","0.9002976190476191","0.9002976190476191","0.9002976190476191","0.7291666666666665","0.7291666666666665","0.7291666666666665","0.71875","0.71875","0.71875"
"31","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8625","0.8625","0.8625","0.71875","0.71875","0.71875"
"32","0.736111111111111","0.736111111111111","0.736111111111111","0.9603174603174603","0.9603174603174603","0.9603174603174603","0.8020833333333334","0.8020833333333334","0.8020833333333334"
"33","0.9027777777777778","0.9027777777777778","0.9027777777777778","0.6116071428571428","0.6116071428571428","0.6116071428571428","0.71875","0.71875","0.71875"
"34","0.9625","0.9625","0.9625","0.93125","0.93125","0.93125","0.6124999999999999","0.6124999999999999","0.6124999999999999"
"35","0.84375","0.84375","0.84375","0.7958333333333334","0.7958333333333334","0.7958333333333334","1","1","1"
"36","1","1","1","0.84375","0.84375","0.84375","0.6270833333333332","0.6270833333333332","0.6270833333333332"
"37","0.8368055555555556","0.8368055555555556","0.8368055555555556","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.84375","0.84375","0.84375"
"38","0.513047138047138","0.513047138047138","0.513047138047138","1","1","1","0.9479166666666667","0.9479166666666667","0.9479166666666667"
