"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] F1 (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] F1 (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] F1 (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] F1 (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] F1 (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] F1 (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] F1 (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] F1 (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] F1 (DiBS)__MAX"
"1","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"2","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0","0","0","0"
"3","0.5714285714285715","0.5714285714285715","0.5714285714285715","0","0","0","0","0","0"
"4","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5","0.5","0.5","0","0","0"
"5","0.5","0.5","0.5","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"6","0.5","0.5","0.5","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"7","0.5","0.5","0.5","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"8","0","0","0","0","0","0","0","0","0"
"9","0.5","0.5","0.5","0","0","0","0","0","0"
"10","0.5","0.5","0.5","0","0","0","0","0","0"
"11","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5","0.5","0.5","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"12","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5","0.5","0.5"
"13","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0"
"14","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.5","0.5","0.5","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"15","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0","0.25","0.25","0.25"
"16","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0","0.25","0.25","0.25"
"17","0.5","0.5","0.5","0","0","0","0","0","0"
"18","0","0","0","0","0","0","0","0","0"
"19","0","0","0","0","0","0","0","0","0"
"20","0.5","0.5","0.5","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"21","0","0","0","0.8","0.8","0.8","0.5","0.5","0.5"
"22","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0","0","0","0"
"23","0.5","0.5","0.5","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"24","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0","0","0","0"
