"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] recall (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] recall (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] recall (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] recall (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] recall (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] recall (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] recall (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] recall (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] recall (DiBS)__MAX"
"1","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"2","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0","0","0","0"
"3","0.4","0.4","0.4","0","0","0","0","0","0"
"4","0.5","0.5","0.5","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0"
"5","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"6","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5","0.5","0.5","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"7","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"8","0","0","0","0","0","0","0","0","0"
"9","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0","0","0","0"
"10","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0","0","0","0"
"11","0.5","0.5","0.5","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"12","0.5","0.5","0.5","0.5","0.5","0.5","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"13","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0"
"14","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"15","0.5","0.5","0.5","0","0","0","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"16","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"17","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0","0","0","0"
"18","0","0","0","0","0","0","0","0","0"
"19","0","0","0","0","0","0","0","0","0"
"20","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"21","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"22","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0","0","0","0"
"23","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"24","0.5","0.5","0.5","0","0","0","0","0","0"
"25","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"26","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0"
"27","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0"
"28","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"29","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"30","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0"
"31","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"32","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"33","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"34","0","0","0","0.2","0.2","0.2","0","0","0"
"35","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5","0.5","0.5","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"36","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0","0","0","0"
"37","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"38","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"39","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5","0.5","0.5","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"40","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"41","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.5","0.5","0.5","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"42","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0"
"43","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"44","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"45","0.5","0.5","0.5","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"46","0","0","0","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"47","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0"
"48","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"49","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0","0","0","0"
"50","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0","0","0","0"
"51","0","0","0","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"52","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"53","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5","0.5","0.5","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"54","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0","0","0","0"
"55","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0","0","0","0"
"56","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.5","0.5","0.5","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"57","0","0","0","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"58","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.5","0.5","0.5","0","0","0"
"59","0.5","0.5","0.5","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"60","0","0","0","0","0","0","0","0","0"
"61","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"62","0.8","0.8","0.8","0.2","0.2","0.2","0.2","0.2","0.2"
"63","0","0","0","0.2","0.2","0.2","0.2","0.2","0.2"
"64","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"65","0.5","0.5","0.5","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"66","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"67","0.5","0.5","0.5","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"68","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"69","0.5","0.5","0.5","0","0","0","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"70","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"71","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"72","0","0","0","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"73","0","0","0","0","0","0","0","0","0"
