"Step","linear_SCM_learned_d4_900_GES_PC - [true] SHD (GES)","linear_SCM_learned_d4_900_GES_PC - [true] SHD (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [true] SHD (GES)__MAX","linear_SCM_learned_d4_900_GES_PC - [learned] SHD (GES)","linear_SCM_learned_d4_900_GES_PC - [learned] SHD (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [learned] SHD (GES)__MAX","linear_SCM_learned_d4_900_GES_PC - [noisy] SHD (GES)","linear_SCM_learned_d4_900_GES_PC - [noisy] SHD (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [noisy] SHD (GES)__MAX"
"1","1","1","1","4","4","4","6","6","6"
"2","4","4","4","4","4","4","3","3","3"
"3","2","2","2","5","5","5","5","5","5"
"4","4","4","4","2","2","2","6","6","6"
"5","2","2","2","1","1","1","5","5","5"
"6","2","2","2","1","1","1","5","5","5"
"7","6","6","6","6","6","6","5","5","5"
"8","3","3","3","2","2","2","4","4","4"
"9","6","6","6","2","2","2","3","3","3"
"10","3","3","3","1","1","1","2","2","2"
"11","3","3","3","2","2","2","5","5","5"
"12","5","5","5","4","4","4","1","1","1"
"13","4","4","4","1","1","1","3","3","3"
"14","4","4","4","1","1","1","3","3","3"
"15","5","5","5","5","5","5","2","2","2"
"16","4","4","4","5","5","5","5","5","5"
"17","3","3","3","1","1","1","1","1","1"
"18","4","4","4","5","5","5","4","4","4"
"19","4","4","4","2","2","2","2","2","2"
"20","3","3","3","2","2","2","5","5","5"
"21","4","4","4","5","5","5","6","6","6"
"22","4","4","4","5","5","5","5","5","5"
"23","5","5","5","3","3","3","5","5","5"
"24","4","4","4","2","2","2","5","5","5"
"25","5","5","5","4","4","4","6","6","6"
"26","3","3","3","2","2","2","5","5","5"
"27","5","5","5","5","5","5","3","3","3"
"28","4","4","4","1","1","1","4","4","4"
"29","2","2","2","3","3","3","3","3","3"
"30","2","2","2","3","3","3","5","5","5"
"31","2","2","2","3","3","3","4","4","4"
"32","5","5","5","2","2","2","3","3","3"
"33","3","3","3","5","5","5","2","2","2"
"34","0","0","0","2","2","2","3","3","3"
"35","2","2","2","2","2","2","6","6","6"
"36","5","5","5","4","4","4","4","4","4"
"37","4","4","4","4","4","4","4","4","4"
"38","2","2","2","5","5","5","2","2","2"
"39","4","4","4","4","4","4","4","4","4"
"40","5","5","5","3","3","3","3","3","3"
"41","3","3","3","2","2","2","3","3","3"
"42","4","4","4","3","3","3","5","5","5"
"43","2","2","2","2","2","2","2","2","2"
"44","3","3","3","3","3","3","5","5","5"
"45","1","1","1","2","2","2","1","1","1"
"46","5","5","5","4","4","4","5","5","5"
"47","2","2","2","5","5","5","3","3","3"
"48","3","3","3","2","2","2","2","2","2"
"49","5","5","5","4","4","4","6","6","6"
"50","4","4","4","5","5","5","2","2","2"
"51","4","4","4","2","2","2","4","4","4"
"52","3","3","3","2","2","2","2","2","2"
"53","3","3","3","3","3","3","2","2","2"
"54","4","4","4","2","2","2","4","4","4"
"55","4","4","4","6","6","6","2","2","2"
"56","5","5","5","2","2","2","4","4","4"
"57","4","4","4","3","3","3","3","3","3"
"58","4","4","4","1","1","1","4","4","4"
"59","3","3","3","1","1","1","1","1","1"
"60","4","4","4","3","3","3","5","5","5"
"61","6","6","6","5","5","5","6","6","6"
"62","2","2","2","5","5","5","2","2","2"
"63","4","4","4","3","3","3","4","4","4"
"64","4","4","4","3","3","3","5","5","5"
"65","5","5","5","2","2","2","4","4","4"
"66","2","2","2","3","3","3","5","5","5"
"67","4","4","4","2","2","2","2","2","2"
"68","5","5","5","5","5","5","4","4","4"
"69","5","5","5","4","4","4","5","5","5"
"70","3","3","3","3","3","3","3","3","3"
"71","4","4","4","4","4","4","4","4","4"
"72","4","4","4","1","1","1","2","2","2"
"73","3","3","3","4","4","4","6","6","6"
"74","5","5","5","4","4","4","4","4","4"
"75","4","4","4","4","4","4","5","5","5"
"76","5","5","5","5","5","5","5","5","5"
"77","5","5","5","3","3","3","5","5","5"
"78","4","4","4","5","5","5","4","4","4"
"79","4","4","4","5","5","5","2","2","2"
"80","2","2","2","2","2","2","4","4","4"
"81","2","2","2","2","2","2","6","6","6"
"82","4","4","4","1","1","1","3","3","3"
"83","6","6","6","2","2","2","6","6","6"
"84","5","5","5","4","4","4","4","4","4"
"85","6","6","6","3","3","3","6","6","6"
"86","2","2","2","3","3","3","2","2","2"
"87","6","6","6","2","2","2","6","6","6"
"88","3","3","3","2","2","2","5","5","5"
"89","2","2","2","5","5","5","3","3","3"
"90","4","4","4","2","2","2","3","3","3"
"91","2","2","2","4","4","4","4","4","4"
"92","4","4","4","3","3","3","2","2","2"
"93","3","3","3","4","4","4","5","5","5"
"94","4","4","4","2","2","2","5","5","5"
"95","3","3","3","6","6","6","3","3","3"
"96","2","2","2","2","2","2","3","3","3"
"97","3","3","3","1","1","1","1","1","1"
"98","5","5","5","4","4","4","5","5","5"
"99","1","1","1","1","1","1","2","2","2"
"100","4","4","4","2","2","2","5","5","5"
