"Step","linear_SCM_learned_d4_900_GES_PC - [true] F1 (GES)","linear_SCM_learned_d4_900_GES_PC - [true] F1 (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [true] F1 (GES)__MAX","linear_SCM_learned_d4_900_GES_PC - [learned] F1 (GES)","linear_SCM_learned_d4_900_GES_PC - [learned] F1 (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [learned] F1 (GES)__MAX","linear_SCM_learned_d4_900_GES_PC - [noisy] F1 (GES)","linear_SCM_learned_d4_900_GES_PC - [noisy] F1 (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [noisy] F1 (GES)__MAX"
"1","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.3636363636363636","0.3636363636363636","0.3636363636363636","0","0","0"
"2","0.4","0.4","0.4","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"3","0.6666666666666665","0.6666666666666665","0.6666666666666665","0.20000000000000004","0.20000000000000004","0.20000000000000004","0.20000000000000004","0.20000000000000004","0.20000000000000004"
"4","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.7272727272727272","0.7272727272727272","0.7272727272727272","0","0","0"
"5","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"6","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"7","0","0","0","0","0","0","0.2","0.2","0.2"
"8","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"9","0","0","0","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"10","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.7272727272727272","0.7272727272727272","0.7272727272727272"
"11","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"12","0.2","0.2","0.2","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"13","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"14","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.6","0.6","0.6"
