"Step","linear_SCM_learned_d4_900_GES_PC - [true] precision (GES)","linear_SCM_learned_d4_900_GES_PC - [true] precision (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [true] precision (GES)__MAX","linear_SCM_learned_d4_900_GES_PC - [learned] precision (GES)","linear_SCM_learned_d4_900_GES_PC - [learned] precision (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [learned] precision (GES)__MAX","linear_SCM_learned_d4_900_GES_PC - [noisy] precision (GES)","linear_SCM_learned_d4_900_GES_PC - [noisy] precision (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [noisy] precision (GES)__MAX"
"1","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.4","0.4","0.4","0","0","0"
"2","0.5","0.5","0.5","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.6","0.6","0.6"
"3","0.75","0.75","0.75","0.2","0.2","0.2","0.2","0.2","0.2"
"4","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.8","0.8","0.8","0","0","0"
"5","0.8","0.8","0.8","1","1","1","0.2","0.2","0.2"
"6","0.6666666666666666","0.6666666666666666","0.6666666666666666","1","1","1","0.2","0.2","0.2"
"7","0","0","0","0","0","0","0.25","0.25","0.25"
"8","0.6","0.6","0.6","0.8","0.8","0.8","0.4","0.4","0.4"
"9","0","0","0","0.8","0.8","0.8","0.6","0.6","0.6"
"10","0.6","0.6","0.6","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8","0.8","0.8"
"11","0.6","0.6","0.6","0.8","0.8","0.8","0.2","0.2","0.2"
"12","0.25","0.25","0.25","0.3333333333333333","0.3333333333333333","0.3333333333333333","1","1","1"
"13","0.4","0.4","0.4","1","1","1","0.6","0.6","0.6"
"14","0.4","0.4","0.4","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.75","0.75","0.75"
"15","0.2","0.2","0.2","0.2","0.2","0.2","0.8","0.8","0.8"
"16","0.4","0.4","0.4","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"17","0.6","0.6","0.6","1","1","1","1","1","1"
"18","0.5","0.5","0.5","0.2","0.2","0.2","0.4","0.4","0.4"
"19","0.5","0.5","0.5","0.8","0.8","0.8","1","1","1"
"20","0.5","0.5","0.5","0.8","0.8","0.8","0.2","0.2","0.2"
"21","0.4","0.4","0.4","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"22","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.2","0.2","0.2","0.25","0.25","0.25"
"23","0.25","0.25","0.25","0.5","0.5","0.5","0.2","0.2","0.2"
"24","0.4","0.4","0.4","0.8","0.8","0.8","0.2","0.2","0.2"
"25","0.25","0.25","0.25","0.4","0.4","0.4","0","0","0"
"26","0.6","0.6","0.6","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.25","0.25","0.25"
"27","0.2","0.2","0.2","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.75","0.75","0.75"
"28","0.4","0.4","0.4","1","1","1","0.4","0.4","0.4"
"29","0.8","0.8","0.8","0.5","0.5","0.5","0.6","0.6","0.6"
"30","0.8","0.8","0.8","0.5","0.5","0.5","0.2","0.2","0.2"
"31","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6","0.6","0.6","0.4","0.4","0.4"
"32","0.2","0.2","0.2","0.8","0.8","0.8","0.6","0.6","0.6"
"33","0.6","0.6","0.6","0.25","0.25","0.25","0.8","0.8","0.8"
"34","1","1","1","0.8","0.8","0.8","0.6","0.6","0.6"
"35","0.8","0.8","0.8","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0"
"36","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.4","0.4","0.4","0.5","0.5","0.5"
"37","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"38","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.25","0.25","0.25","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"39","0.4","0.4","0.4","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.4","0.4","0.4"
"40","0.2","0.2","0.2","0.5","0.5","0.5","0.6","0.6","0.6"
"41","0.6","0.6","0.6","1","1","1","0.6","0.6","0.6"
"42","0.5","0.5","0.5","0.6","0.6","0.6","0.25","0.25","0.25"
"43","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8"
"44","0.5","0.5","0.5","0.75","0.75","0.75","0.2","0.2","0.2"
"45","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8","0.8","0.8","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"46","0.25","0.25","0.25","0.4","0.4","0.4","0.2","0.2","0.2"
"47","0.8","0.8","0.8","0.2","0.2","0.2","0.6","0.6","0.6"
"48","0.6","0.6","0.6","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"49","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.4","0.4","0.4","0","0","0"
"50","0.4","0.4","0.4","0.2","0.2","0.2","0.8","0.8","0.8"
"51","0.4","0.4","0.4","0.8","0.8","0.8","0.4","0.4","0.4"
"52","0.6","0.6","0.6","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.8","0.8","0.8"
"53","0.6","0.6","0.6","0.6","0.6","0.6","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"54","0.4","0.4","0.4","0.8","0.8","0.8","0.4","0.4","0.4"
"55","0.4","0.4","0.4","0","0","0","0.8","0.8","0.8"
"56","0.2","0.2","0.2","0.8","0.8","0.8","0.4","0.4","0.4"
"57","0.4","0.4","0.4","0.6","0.6","0.6","0.5","0.5","0.5"
"58","0.4","0.4","0.4","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.4","0.4","0.4"
"59","0.6","0.6","0.6","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"60","0.4","0.4","0.4","0.5","0.5","0.5","0.25","0.25","0.25"
"61","0","0","0","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"62","0.6","0.6","0.6","0.2","0.2","0.2","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"63","0.2","0.2","0.2","0.5","0.5","0.5","0.4","0.4","0.4"
"64","0.4","0.4","0.4","0.6","0.6","0.6","0.2","0.2","0.2"
"65","0.2","0.2","0.2","0.8","0.8","0.8","0.4","0.4","0.4"
"66","0.8","0.8","0.8","0.6","0.6","0.6","0.2","0.2","0.2"
"67","0.4","0.4","0.4","0.8","0.8","0.8","0.8","0.8","0.8"
"68","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.4","0.4","0.4"
"69","0.2","0.2","0.2","0.5","0.5","0.5","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"70","0.75","0.75","0.75","0.6","0.6","0.6","0.6","0.6","0.6"
"71","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"72","0.4","0.4","0.4","1","1","1","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"73","0.5","0.5","0.5","0.4","0.4","0.4","0","0","0"
"74","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.4","0.4","0.4","0.5","0.5","0.5"
"75","0.4","0.4","0.4","0.4","0.4","0.4","0.25","0.25","0.25"
"76","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"77","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.6","0.6","0.6","0.2","0.2","0.2"
"78","0.5","0.5","0.5","0.2","0.2","0.2","0.4","0.4","0.4"
"79","0.4","0.4","0.4","0.2","0.2","0.2","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"80","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.8","0.8","0.8","0.4","0.4","0.4"
"81","0.8","0.8","0.8","0.8","0.8","0.8","0","0","0"
"82","0.5","0.5","0.5","1","1","1","0.6","0.6","0.6"
"83","0","0","0","0.8","0.8","0.8","0","0","0"
"84","0.2","0.2","0.2","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.4","0.4","0.4"
"85","0","0","0","0.6","0.6","0.6","0","0","0"
"86","0.8","0.8","0.8","0.6","0.6","0.6","0.8","0.8","0.8"
"87","0","0","0","0.8","0.8","0.8","0","0","0"
"88","0.5","0.5","0.5","0.8","0.8","0.8","0.25","0.25","0.25"
"89","0.8","0.8","0.8","0.2","0.2","0.2","0.5","0.5","0.5"
"90","0.4","0.4","0.4","0.8","0.8","0.8","0.5","0.5","0.5"
"91","0.8","0.8","0.8","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.4","0.4","0.4"
"92","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.6","0.6","0.6","0.8","0.8","0.8"
"93","0.6","0.6","0.6","0.4","0.4","0.4","0.2","0.2","0.2"
"94","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.8","0.8","0.8","0.2","0.2","0.2"
"95","0.6","0.6","0.6","0","0","0","0.6","0.6","0.6"
"96","0.8","0.8","0.8","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6","0.6","0.6"
"97","0.6","0.6","0.6","1","1","1","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"98","0.25","0.25","0.25","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.25","0.25","0.25"
"99","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8","0.8","0.8"
"100","0.25","0.25","0.25","0.8","0.8","0.8","0.2","0.2","0.2"
