"Step","linear_SCM_learned_d4_900_GES_PC - [true] SHD (PC)","linear_SCM_learned_d4_900_GES_PC - [true] SHD (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [true] SHD (PC)__MAX","linear_SCM_learned_d4_900_GES_PC - [learned] SHD (PC)","linear_SCM_learned_d4_900_GES_PC - [learned] SHD (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [learned] SHD (PC)__MAX","linear_SCM_learned_d4_900_GES_PC - [noisy] SHD (PC)","linear_SCM_learned_d4_900_GES_PC - [noisy] SHD (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [noisy] SHD (PC)__MAX"
"1","1","1","1","3","3","3","5","5","5"
"2","4","4","4","4","4","4","4","4","4"
"3","4","4","4","2","2","2","4","4","4"
"4","4","4","4","3","3","3","6","6","6"
"5","6","6","6","3","3","3","5","5","5"
"6","2","2","2","1","1","1","4","4","4"
"7","5","5","5","6","6","6","6","6","6"
"8","3","3","3","4","4","4","4","4","4"
"9","6","6","6","2","2","2","3","3","3"
"10","3","3","3","1","1","1","3","3","3"
"11","3","3","3","2","2","2","5","5","5"
"12","5","5","5","4","4","4","2","2","2"
"13","4","4","4","1","1","1","3","3","3"
"14","4","4","4","1","1","1","3","3","3"
"15","5","5","5","5","5","5","2","2","2"
"16","4","4","4","5","5","5","5","5","5"
"17","3","3","3","3","3","3","1","1","1"
"18","4","4","4","3","3","3","3","3","3"
"19","4","4","4","4","4","4","2","2","2"
"20","3","3","3","3","3","3","6","6","6"
"21","4","4","4","5","5","5","6","6","6"
"22","4","4","4","5","5","5","5","5","5"
"23","5","5","5","3","3","3","5","5","5"
"24","4","4","4","2","2","2","5","5","5"
"25","5","5","5","4","4","4","4","4","4"
"26","3","3","3","2","2","2","5","5","5"
"27","5","5","5","5","5","5","3","3","3"
"28","3","3","3","1","1","1","4","4","4"
"29","5","5","5","4","4","4","3","3","3"
"30","2","2","2","3","3","3","5","5","5"
"31","2","2","2","5","5","5","3","3","3"
"32","5","5","5","2","2","2","4","4","4"
"33","4","4","4","5","5","5","4","4","4"
"34","3","3","3","2","2","2","3","3","3"
"35","2","2","2","2","2","2","6","6","6"
"36","5","5","5","6","6","6","4","4","4"
"37","4","4","4","4","4","4","4","4","4"
"38","2","2","2","6","6","6","2","2","2"
"39","3","3","3","4","4","4","4","4","4"
"40","5","5","5","3","3","3","3","3","3"
"41","3","3","3","2","2","2","4","4","4"
"42","5","5","5","5","5","5","5","5","5"
"43","2","2","2","2","2","2","2","2","2"
"44","3","3","3","3","3","3","6","6","6"
"45","1","1","1","2","2","2","1","1","1"
"46","5","5","5","4","4","4","5","5","5"
"47","5","5","5","5","5","5","5","5","5"
"48","3","3","3","2","2","2","2","2","2"
"49","5","5","5","4","4","4","5","5","5"
"50","4","4","4","5","5","5","5","5","5"
"51","4","4","4","2","2","2","5","5","5"
"52","3","3","3","2","2","2","2","2","2"
"53","3","3","3","3","3","3","2","2","2"
"54","4","4","4","3","3","3","4","4","4"
"55","4","4","4","6","6","6","2","2","2"
"56","4","4","4","2","2","2","5","5","5"
"57","4","4","4","2","2","2","3","3","3"
"58","3","3","3","1","1","1","4","4","4"
"59","3","3","3","1","1","1","1","1","1"
"60","4","4","4","3","3","3","5","5","5"
"61","5","5","5","5","5","5","6","6","6"
"62","3","3","3","4","4","4","2","2","2"
"63","1","1","1","3","3","3","4","4","4"
"64","4","4","4","4","4","4","5","5","5"
"65","3","3","3","2","2","2","4","4","4"
"66","2","2","2","5","5","5","4","4","4"
"67","6","6","6","2","2","2","4","4","4"
"68","5","5","5","5","5","5","3","3","3"
"69","5","5","5","3","3","3","5","5","5"
"70","3","3","3","3","3","3","4","4","4"
"71","4","4","4","4","4","4","4","4","4"
"72","5","5","5","1","1","1","2","2","2"
"73","3","3","3","4","4","4","3","3","3"
"74","5","5","5","5","5","5","6","6","6"
"75","4","4","4","4","4","4","5","5","5"
"76","4","4","4","5","5","5","5","5","5"
"77","5","5","5","3","3","3","6","6","6"
"78","4","4","4","5","5","5","4","4","4"
"79","3","3","3","5","5","5","2","2","2"
"80","2","2","2","2","2","2","4","4","4"
"81","2","2","2","2","2","2","6","6","6"
"82","5","5","5","1","1","1","3","3","3"
"83","6","6","6","2","2","2","6","6","6"
"84","5","5","5","4","4","4","4","4","4"
"85","6","6","6","3","3","3","6","6","6"
"86","2","2","2","3","3","3","3","3","3"
"87","6","6","6","2","2","2","6","6","6"
"88","3","3","3","4","4","4","5","5","5"
"89","2","2","2","3","3","3","3","3","3"
"90","4","4","4","5","5","5","3","3","3"
"91","2","2","2","4","4","4","4","4","4"
"92","4","4","4","3","3","3","2","2","2"
"93","3","3","3","4","4","4","5","5","5"
"94","4","4","4","2","2","2","5","5","5"
"95","6","6","6","6","6","6","3","3","3"
"96","2","2","2","2","2","2","3","3","3"
"97","3","3","3","1","1","1","1","1","1"
"98","5","5","5","4","4","4","6","6","6"
"99","1","1","1","1","1","1","2","2","2"
"100","4","4","4","4","4","4","5","5","5"
