"Step","linear_SCM_learned_d4_900_GES_PC - [true] precision (PC)","linear_SCM_learned_d4_900_GES_PC - [true] precision (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [true] precision (PC)__MAX","linear_SCM_learned_d4_900_GES_PC - [learned] precision (PC)","linear_SCM_learned_d4_900_GES_PC - [learned] precision (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [learned] precision (PC)__MAX","linear_SCM_learned_d4_900_GES_PC - [noisy] precision (PC)","linear_SCM_learned_d4_900_GES_PC - [noisy] precision (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [noisy] precision (PC)__MAX"
"1","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.75","0.75","0.75","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"2","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5","0.5","0.5"
"3","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.75","0.75","0.75","0.4","0.4","0.4"
"4","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.75","0.75","0.75","0","0","0"
"5","0","0","0","1","1","1","0.2","0.2","0.2"
"6","0.6666666666666666","0.6666666666666666","0.6666666666666666","1","1","1","0.5","0.5","0.5"
"7","0.25","0.25","0.25","0","0","0","0","0","0"
"8","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5"
"9","0","0","0","0.8","0.8","0.8","0.6","0.6","0.6"
"10","0.6","0.6","0.6","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.75","0.75","0.75"
"11","0.6","0.6","0.6","0.8","0.8","0.8","0.2","0.2","0.2"
"12","0.25","0.25","0.25","0.3333333333333333","0.3333333333333333","0.3333333333333333","1","1","1"
"13","0.4","0.4","0.4","1","1","1","0.6","0.6","0.6"
"14","0.5","0.5","0.5","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.75","0.75","0.75"
"15","0.2","0.2","0.2","0.2","0.2","0.2","0.8","0.8","0.8"
"16","0.4","0.4","0.4","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"17","0.6","0.6","0.6","0.75","0.75","0.75","1","1","1"
"18","0.5","0.5","0.5","0.6","0.6","0.6","0.75","0.75","0.75"
"19","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1"
"20","0.5","0.5","0.5","0.75","0.75","0.75","0","0","0"
"21","0.4","0.4","0.4","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"22","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.2","0.2","0.2","0.25","0.25","0.25"
"23","0.25","0.25","0.25","0.5","0.5","0.5","0.25","0.25","0.25"
"24","0.4","0.4","0.4","0.8","0.8","0.8","0.2","0.2","0.2"
"25","0.25","0.25","0.25","0.4","0.4","0.4","0.5","0.5","0.5"
"26","0.6","0.6","0.6","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.25","0.25","0.25"
"27","0.2","0.2","0.2","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.75","0.75","0.75"
"28","0.75","0.75","0.75","1","1","1","0.4","0.4","0.4"
"29","0.25","0.25","0.25","0.4","0.4","0.4","0.6","0.6","0.6"
"30","0.8","0.8","0.8","0.5","0.5","0.5","0.25","0.25","0.25"
"31","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.25","0.25","0.25","0.6","0.6","0.6"
"32","0.25","0.25","0.25","0.8","0.8","0.8","0.4","0.4","0.4"
