"Step","linear_SCM_learned_d4_900_GES_PC - [true] recall (PC)","linear_SCM_learned_d4_900_GES_PC - [true] recall (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [true] recall (PC)__MAX","linear_SCM_learned_d4_900_GES_PC - [learned] recall (PC)","linear_SCM_learned_d4_900_GES_PC - [learned] recall (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [learned] recall (PC)__MAX","linear_SCM_learned_d4_900_GES_PC - [noisy] recall (PC)","linear_SCM_learned_d4_900_GES_PC - [noisy] recall (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [noisy] recall (PC)__MAX"
"1","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.5","0.5","0.5","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"2","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"3","0.2","0.2","0.2","0.6","0.6","0.6","0.4","0.4","0.4"
"4","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5","0.5","0.5","0","0","0"
"5","0","0","0","0.5","0.5","0.5","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"6","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"7","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0","0","0","0"
"8","0.5","0.5","0.5","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"9","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5","0.5","0.5"
"10","0.5","0.5","0.5","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.5","0.5","0.5"
"11","0.5","0.5","0.5","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"12","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"13","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.5","0.5","0.5"
"14","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.5","0.5","0.5"
"15","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"16","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"17","0.5","0.5","0.5","0.5","0.5","0.5","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"18","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5","0.5","0.5","0.5","0.5","0.5"
"19","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"20","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0"
"21","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"22","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"23","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.5","0.5","0.5","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"24","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"25","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333"
